I suggest you could go for the uploaded trip to the following amenities
        distance           amenity     city                                                                                                                                                                                                                                                                                                            address
0    1388.409877  place_of_worship  Burnaby                                                          {'amenity': 'St. Michael Parish', 'road': 'Holmes Street', 'neighbourhood': 'Sapperton', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3N 4C3', 'country': 'Canada', 'country_code': 'ca'}
1    1066.147697      waste_basket  Burnaby                                                                                                               {'road': 'Central Valley Greenway', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3N 4T2', 'country': 'Canada', 'country_code': 'ca'}
2     534.030447           dentist  Burnaby                                                                                     {'amenity': 'Four Seasons Dental Care', 'road': 'North Road', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3K 3V8', 'country': 'Canada', 'country_code': 'ca'}
3     531.293577              bank  Burnaby                                                                                {'amenity': 'Korea Exchange Bank of Canada', 'road': 'North Road', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3K 3V8', 'country': 'Canada', 'country_code': 'ca'}
4     530.795948        restaurant  Burnaby                                                                                                 {'amenity': 'Ddoo Gau Bee', 'road': 'North Road', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3K 3V8', 'country': 'Canada', 'country_code': 'ca'}
5     531.226549        restaurant  Burnaby                                                                                             {'amenity': 'Dasarang Chicken', 'road': 'North Road', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3K 3V8', 'country': 'Canada', 'country_code': 'ca'}
6     528.326943        restaurant  Burnaby                                                                                             {'amenity': 'Dae Ji', 'road': 'Trans-Canada Highway', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3K 3V8', 'country': 'Canada', 'country_code': 'ca'}
7     936.784779  place_of_worship  Burnaby                                                                  {'amenity': 'Cariboo Road Christian Fellowship', 'road': 'Trans-Canada Highway', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3N 4T2', 'country': 'Canada', 'country_code': 'ca'}
8     302.265216        restaurant  Burnaby                                                                    {'office': 'Juris Notary', 'house_number': '9940', 'road': 'Lougheed Highway', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3K 6V9', 'country': 'Canada', 'country_code': 'ca'}
9    1878.186830           parking  Burnaby                                                                           {'road': 'Piper Avenue', 'city': 'Burnaby', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5A 4Y2', 'country': 'Canada', 'country_code': 'ca'}
