address,amenity,city,lat,lon,name,tags,timestamp
"{'amenity': 'CIBC Sevenoaks Banking Centre', 'house_number': '32950', 'road': 'South Fraser Way', 'suburb': 'Mill Lake', 'city': 'Abbotsford', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'postcode': 'V2S 5A1', 'country': 'Canada', 'country_code': 'ca'}",atm,Abbotsford,49.0503825,-122.31060049999999,,"{'drive_through': 'yes', 'operator': 'CIBC'}",2018-07-25T21:02:46.000-07:00
"{'amenity': 'Envision Financial', 'house_number': '2090', 'road': 'Sumas Way', 'suburb': 'McMillan', 'city': 'Abbotsford', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'postcode': 'V2S 2C7', 'country': 'Canada', 'country_code': 'ca'}",atm,Abbotsford,49.0397023,-122.2704203,,{'operator': 'Envision Financial'},2015-07-05T20:01:23.000-07:00
"{'shop': 'Huntingdon Station', 'road': 'Sumas Way', 'suburb': 'McMillan', 'city': 'Abbotsford', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'postcode': 'V2S 8H6', 'country': 'Canada', 'country_code': 'ca'}",atm,Abbotsford,49.0385456,-122.2712014,CIBC drive-thru ATM,"{'drive_through': 'yes', 'operator': 'CIBC'}",2016-07-08T11:15:22.000-07:00
"{'house_number': '2600', 'road': 'Gladys Avenue', 'suburb': 'Abbotsford Centre', 'city': 'Abbotsford', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'postcode': 'V2S 3X7', 'country': 'Canada', 'country_code': 'ca'}",atm,Abbotsford,49.0492963,-122.287219,,{'operator': 'Aldergrove Credit Union'},2015-10-04T22:44:23.000-07:00
"{'amenity': 'Prospera Credit Union', 'house_number': '32071', 'road': 'South Fraser Way', 'neighbourhood': 'Clearbrook', 'suburb': 'Clearbrook Centre', 'city': 'Abbotsford', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'postcode': 'V2T 1W3', 'country': 'Canada', 'country_code': 'ca'}",atm,Abbotsford,49.0506925,-122.33617290000001,,"{'drive_through': 'yes', 'operator': 'Prospera Credit Union'}",2016-02-21T04:29:38.000-08:00
"{'amenity': 'TD Canada Trust', 'house_number': '2130', 'road': 'Sumas Way', 'suburb': 'McMillan', 'city': 'Abbotsford', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'postcode': 'V2S 2C7', 'country': 'Canada', 'country_code': 'ca'}",atm,Abbotsford,49.0404521,-122.2706336,,{'operator': 'TD Canada Trust'},2015-07-05T20:04:19.000-07:00
"{'office': 'Envision Financial', 'road': 'South Fraser Way', 'suburb': 'Clearbrook Centre', 'city': 'Abbotsford', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'postcode': 'V2T 4M5', 'country': 'Canada', 'country_code': 'ca'}",atm,Abbotsford,49.0516607,-122.3179304,,"{'drive_through': 'yes', 'operator': 'Envision Financial'}",2015-02-09T23:15:08.000-08:00
"{'office': 'Envision Financial', 'road': 'South Fraser Way', 'suburb': 'Clearbrook Centre', 'city': 'Abbotsford', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'postcode': 'V2T 4M5', 'country': 'Canada', 'country_code': 'ca'}",atm,Abbotsford,49.051316299999996,-122.3178676,,{'operator': 'enVision financial'},2015-05-30T18:25:19.000-07:00
"{'amenity': 'RBC', 'house_number': '2288', 'road': 'Whatcom Road', 'neighbourhood': 'Lower Sumas Mountain', 'suburb': 'Whatcom', 'city': 'Abbotsford', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'postcode': 'V3G 0C1', 'country': 'Canada', 'country_code': 'ca'}",atm,Abbotsford,49.0437836,-122.22306950000001,,"{'drive_through': 'yes', 'operator': 'RBC Royal Bank'}",2016-10-24T12:38:33.000-07:00
"{'house_number': '2298', 'road': 'Whatcom Road', 'neighbourhood': 'Lower Sumas Mountain', 'suburb': 'Whatcom', 'city': 'Abbotsford', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'postcode': 'V3G 0C1', 'country': 'Canada', 'country_code': 'ca'}",atm,Abbotsford,49.0437737,-122.2226622,,"{'drive_through': 'yes', 'operator': 'TD Canada Trust'}",2016-10-24T12:38:34.000-07:00
"{'amenity': 'TD Canada Trust', 'house_number': '32817', 'road': 'South Fraser Way', 'suburb': 'Clearbrook Centre', 'city': 'Abbotsford', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'postcode': 'V2S 2A6', 'country': 'Canada', 'country_code': 'ca'}",atm,Abbotsford,49.0512439,-122.31471609999998,,"{'drive_through': 'no', 'operator': 'TD Canada Trust'}",2015-02-21T04:21:36.000-08:00
"{'house_number': '32817', 'road': 'South Fraser Way', 'suburb': 'Clearbrook Centre', 'city': 'Abbotsford', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'postcode': 'V2T 4S6', 'country': 'Canada', 'country_code': 'ca'}",atm,Abbotsford,49.051356299999995,-122.31471299999998,,"{'drive_through': 'yes', 'operator': 'TD Canada Trust'}",2015-02-21T04:21:35.000-08:00
"{'house_number': '32675', 'road': 'South Fraser Way', 'suburb': 'Clearbrook Centre', 'city': 'Abbotsford', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'postcode': 'V2T 1X5', 'country': 'Canada', 'country_code': 'ca'}",atm,Abbotsford,49.0514402,-122.3188257,,"{'drive_through': 'yes', 'operator': 'Vancity'}",2015-01-18T18:18:05.000-08:00
"{'building': 'Gladwin Crossing', 'house_number': '2777', 'road': 'Gladwin Road', 'suburb': 'Clearbrook Centre', 'city': 'Abbotsford', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'postcode': 'V2T 4T1', 'country': 'Canada', 'country_code': 'ca'}",atm,Abbotsford,49.0516075,-122.3158845,,"{'alt_name': 'Bank of Nova Scotia', 'drive_through': 'yes', 'operator': 'Scotiabank'}",2016-12-07T06:30:55.000-08:00
"{'house_number': '31975', 'road': 'South Fraser Way', 'suburb': 'West Clearbrook', 'city': 'Abbotsford', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'postcode': 'V2T 1V5', 'country': 'Canada', 'country_code': 'ca'}",atm,Abbotsford,49.0499109,-122.3382952,,"{'drive_through': 'yes', 'operator': 'RBC Royal Bank'}",2016-12-19T16:38:38.000-08:00
"{'shop': 'West Oaks Mall', 'house_number': '32700', 'road': 'South Fraser Way', 'suburb': 'Clearbrook Centre', 'city': 'Abbotsford', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'postcode': 'V2T 4M5', 'country': 'Canada', 'country_code': 'ca'}",atm,Abbotsford,49.05004260000001,-122.31917649999998,,{'brand': 'RBC Royal Bank'},2016-11-06T19:52:50.000-08:00
"{'shop': 'Sevenoaks Shopping Centre', 'house_number': '32900', 'road': 'South Fraser Way', 'suburb': 'Mill Lake', 'city': 'Abbotsford', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'postcode': 'V2S 5A1', 'country': 'Canada', 'country_code': 'ca'}",atm,Abbotsford,49.0493349,-122.31166090000002,,{'level': '0'},2016-12-11T18:15:25.000-08:00
"{'shop': 'Sevenoaks Shopping Centre', 'house_number': '32900', 'road': 'South Fraser Way', 'suburb': 'Mill Lake', 'city': 'Abbotsford', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'postcode': 'V2S 5A1', 'country': 'Canada', 'country_code': 'ca'}",atm,Abbotsford,49.048428,-122.31191609999999,,{'level': '0'},2016-10-08T07:09:24.000-07:00
