address,amenity,city,lat,lon,name,tags,timestamp
"{'road': 'Cascade Falls Trail', 'city': 'Area F (McConnell Creek/Hatzic Prairie)', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'postcode': 'V2V 0A8', 'country': 'Canada', 'country_code': 'ca'}",vending_machine,Area F (McConnell Creek_Hatzic Prairie),49.27417670000001,-122.2158001,,"{'vending': 'excrement_bags', 'fee': 'no'}",2017-03-20T01:55:14.000-07:00
"{'road': 'Cascade Falls Trail', 'city': 'Area F (McConnell Creek/Hatzic Prairie)', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'postcode': 'V2V 0A8', 'country': 'Canada', 'country_code': 'ca'}",vending_machine,Area F (McConnell Creek_Hatzic Prairie),49.273846,-122.21600179999999,,"{'vending': 'excrement_bags', 'fee': 'no'}",2017-03-20T02:07:00.000-07:00
"{'amenity': 'Golden Ears Shelter', 'road': 'Golden Ears Trail', 'city': 'Area F (McConnell Creek/Hatzic Prairie)', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'country': 'Canada', 'country_code': 'ca'}",shelter,Area F (McConnell Creek_Hatzic Prairie),49.366656799999994,-122.5013955,Golden Ears Shelter,{},2017-06-14T09:25:03.000-07:00
"{'amenity': 'Save Gas', 'house_number': '1081', 'road': 'Farms Road', 'commercial': 'Hatzic Prairie Market', 'city': 'Area F (McConnell Creek/Hatzic Prairie)', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'postcode': 'V2V 4J1', 'country': 'Canada', 'country_code': 'ca'}",fuel,Area F (McConnell Creek_Hatzic Prairie),49.198644,-122.24736770000001,Save Gas,"{'addr:housenumber': '1081', 'addr:street': 'Farms Road', 'phone': '+1-604-826-6760', 'addr:postcode': 'V2V 4J1', 'addr:city': 'Hatzic'}",2017-12-11T12:43:09.000-08:00
"{'tourism': 'Half Moon Beach Campground', 'road': 'East Canyon Trail', 'city': 'Area F (McConnell Creek/Hatzic Prairie)', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'country': 'Canada', 'country_code': 'ca'}",toilets,Area F (McConnell Creek_Hatzic Prairie),49.40180460000001,-122.4460195,,{},2018-07-23T02:22:38.000-07:00
"{'road': 'Cascade Falls Trail', 'city': 'Area F (McConnell Creek/Hatzic Prairie)', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'postcode': 'V2V 0A8', 'country': 'Canada', 'country_code': 'ca'}",toilets,Area F (McConnell Creek_Hatzic Prairie),49.2740571,-122.21634080000001,,"{'unisex': 'yes', 'toilets:disposal': 'pitlatrine', 'access': 'public', 'operator': 'Fraser Valley Regional District'}",2017-03-20T01:54:41.000-07:00
"{'road': 'Cascade Falls Trail', 'city': 'Area F (McConnell Creek/Hatzic Prairie)', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'postcode': 'V2V 0A8', 'country': 'Canada', 'country_code': 'ca'}",toilets,Area F (McConnell Creek_Hatzic Prairie),49.2740313,-122.21639679999998,,"{'unisex': 'yes', 'toilets:disposal': 'pitlatrine', 'access': 'public', 'operator': 'Fraser Valley Regional District'}",2017-03-20T01:54:41.000-07:00
"{'road': 'Cascade Falls Trail', 'city': 'Area F (McConnell Creek/Hatzic Prairie)', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'postcode': 'V2V 0A8', 'country': 'Canada', 'country_code': 'ca'}",waste_basket,Area F (McConnell Creek_Hatzic Prairie),49.2740199,-122.21629990000001,,{},2017-03-20T01:54:41.000-07:00
"{'road': 'Cascade Falls Trail', 'city': 'Area F (McConnell Creek/Hatzic Prairie)', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'postcode': 'V2V 0A8', 'country': 'Canada', 'country_code': 'ca'}",waste_basket,Area F (McConnell Creek_Hatzic Prairie),49.273915,-122.2154135,,{},2016-06-26T23:56:13.000-07:00
"{'road': 'Cascade Falls Trail', 'city': 'Area F (McConnell Creek/Hatzic Prairie)', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'postcode': 'V2V 0A8', 'country': 'Canada', 'country_code': 'ca'}",waste_basket,Area F (McConnell Creek_Hatzic Prairie),49.2739159,-122.2154243,,{},2016-06-26T23:56:13.000-07:00
