address,amenity,city,lat,lon,name,tags,timestamp
"{'house_number': '100', 'road': 'Park Royal South', 'suburb': 'Park Royal', 'city': 'Capilano No. 5', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7T 2W4', 'country': 'Canada', 'country_code': 'ca'}",community_centre,Capilano No. 5,49.3251479,-123.134022,ACCESS,"{'alt_name': 'Aboriginal Community Centre Employment Services Society', 'office': 'employment_agency', 'level': '1'}",2020-06-27T15:12:27.000-07:00
"{'amenity': 'Money Way Currency Exchange', 'house_number': '702', 'road': 'Main Street', 'suburb': 'Park Royal', 'city': 'Capilano No. 5', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7T 1A0', 'country': 'Canada', 'country_code': 'ca'}",bureau_de_change,Capilano No. 5,49.326205,-123.13508490000001,Money Way Currency Exchange,"{'wheelchair': 'yes', 'addr:housenumber': '702', 'addr:street': 'Main Street', 'level': '0'}",2019-04-27T15:04:33.000-07:00
"{'road': 'Bridge Street', 'suburb': 'Park Royal', 'city': 'Capilano No. 5', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7T 2Z4', 'country': 'Canada', 'country_code': 'ca'}",parking_entrance,Capilano No. 5,49.3248324,-123.13499850000001,,{},2020-05-26T01:08:22.000-07:00
"{'house_number': '100', 'road': 'Park Royal South', 'suburb': 'Park Royal', 'city': 'Capilano No. 5', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7T 2W4', 'country': 'Canada', 'country_code': 'ca'}",dentist,Capilano No. 5,49.3251881,-123.1340203,Park Royal Dental,"{'level': '0', 'healthcare': 'dentist'}",2020-06-21T02:52:38.000-07:00
"{'amenity': 'Park Royal', 'house_number': '802', 'road': 'Main Street', 'suburb': 'Park Royal', 'city': 'Capilano No. 5', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7T 1A0', 'country': 'Canada', 'country_code': 'ca'}",post_office,Capilano No. 5,49.3260286,-123.1399358,Park Royal,"{'brand:wikidata': 'Q1032001', 'addr:housenumber': '802', 'website': 'https://www.canadapost.ca/', 'brand:wikipedia': 'en:Canada Post', 'opening_hours': 'Mo-Fr 09:00-21:00; Su 12:00-17:00; Sa 10:00-17:00', 'addr:street': 'Main Street', 'addr:postcode': 'V7T 1A0', 'brand': 'Canada Post', 'operator': 'Canada Post'}",2020-02-10T05:15:33.000-08:00
"{'shop': 'Salomon', 'house_number': '900', 'road': 'Main Street', 'retail': 'Park Royal The Village', 'suburb': 'Park Royal', 'city': 'Capilano No. 5', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7T 2Z3', 'country': 'Canada', 'country_code': 'ca'}",toilets,Capilano No. 5,49.3251953,-123.1431264,,{'opening_hours': 'Mo-Fr 10:00-23:00; Sa 09:30-23:00; Su 10:00-23:00'},2020-05-29T04:38:32.000-07:00
"{'road': 'Marine Drive', 'suburb': 'Park Royal', 'city': 'Capilano No. 5', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7P', 'country': 'Canada', 'country_code': 'ca'}",waste_basket,Capilano No. 5,49.3246172,-123.1241268,,{},2016-11-02T12:40:50.000-07:00
"{'road': 'Spirit Trail', 'suburb': 'Park Royal', 'city': 'Capilano No. 5', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7P', 'country': 'Canada', 'country_code': 'ca'}",waste_basket,Capilano No. 5,49.3178226,-123.1121091,,{},2016-09-26T02:15:40.000-07:00
"{'road': 'Spirit Trail', 'suburb': 'Park Royal', 'city': 'Capilano No. 5', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7P', 'country': 'Canada', 'country_code': 'ca'}",waste_basket,Capilano No. 5,49.3180103,-123.11524979999999,,{},2016-09-26T02:15:41.000-07:00
"{'road': 'Spirit Trail', 'suburb': 'Park Royal', 'city': 'Capilano No. 5', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7P', 'country': 'Canada', 'country_code': 'ca'}",waste_basket,Capilano No. 5,49.317986299999994,-123.1036862,,{},2016-09-26T02:15:41.000-07:00
