address,amenity,city,lat,lon,name,tags,timestamp
"{'shop': 'Tsawwassen Quay Market', 'road': 'Ferry Causeway', 'city': 'Delta', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V4M 2P3', 'country': 'Canada', 'country_code': 'ca'}",atm,Delta,49.0082934,-123.1300094,,"{'indoor': 'yes', 'brand': 'DC Bank'}",2019-02-04T00:35:48.000-08:00
"{'house_number': '7727', 'road': 'Beedie Road', 'suburb': 'Tilbury Island', 'city': 'Delta', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V4G 1A6', 'country': 'Canada', 'country_code': 'ca'}",charging_station,Delta,49.14646079999999,-123.0087301,,"{'access': 'yes', 'authentication:none': 'yes', 'fee': 'no', 'capacity': '2', 'voltage': '230'}",2020-05-19T04:11:53.000-07:00
"{'shop': 'Tsawwassen Mills', 'house_number': '5000', 'road': 'Canoe Pass Way', 'retail': 'Tsawwassen Commons', 'city': 'Delta', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V4E 0B3', 'country': 'Canada', 'country_code': 'ca'}",charging_station,Delta,49.0376956,-123.08874420000001,,"{'socket:type1': '2', 'operator': 'Flo', 'capacity': '2'}",2020-04-27T23:54:08.000-07:00
"{'shop': 'Tsawwassen Mills', 'house_number': '5000', 'road': 'Canoe Pass Way', 'retail': 'Tsawwassen Commons', 'city': 'Delta', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V4E 0B3', 'country': 'Canada', 'country_code': 'ca'}",charging_station,Delta,49.040500099999996,-123.0835209,,"{'socket:type1': '2', 'operator': 'Flo', 'capacity': '2'}",2020-04-27T23:54:08.000-07:00
"{'amenity': 'ChargePoint', 'road': 'Beedie Road', 'suburb': 'Tilbury Island', 'city': 'Delta', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V4G 1A6', 'country': 'Canada', 'country_code': 'ca'}",charging_station,Delta,49.1443218,-123.0148235,ChargePoint,"{'brand:wikidata': 'Q5176149', 'access': 'yes', 'brand': 'ChargePoint', 'brand:wikipedia': 'en:ChargePoint', 'capacity': '6'}",2020-05-26T23:16:02.000-07:00
"{'road': 'Savannah Trail', 'suburb': 'Boundary Bay', 'city_district': 'Tsawwassen', 'city': 'Delta', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V4L 1V1', 'country': 'Canada', 'country_code': 'ca'}",charging_station,Delta,49.0150469,-123.04161370000001,,{},2020-06-26T22:18:05.000-07:00
"{'house_number': '7727', 'road': 'Beedie Road', 'suburb': 'Tilbury Island', 'city': 'Delta', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V4G 1A6', 'country': 'Canada', 'country_code': 'ca'}",charging_station,Delta,49.14706339999999,-123.009018,,"{'access': 'yes', 'authentication:none': 'yes', 'fee': 'no', 'capacity': '2', 'voltage': '230'}",2020-05-19T04:11:53.000-07:00
"{'amenity': 'Tesla Supercharger', 'road': 'South Fraser Perimeter Road', 'city': 'Delta', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V4E 0B3', 'country': 'Canada', 'country_code': 'ca'}",charging_station,Delta,49.0380325,-123.0826676,Tesla Supercharger,"{'brand:wikidata': 'Q17089620', 'socket:tesla_supercharger:output': '120 kW', 'brand:wikipedia': 'en:Tesla Supercharger', 'brand': 'Tesla Supercharger', 'operator': 'Tesla', 'capacity': '12'}",2019-04-03T03:27:34.000-07:00
"{'shop': 'Tsawwassen Mills', 'house_number': '5000', 'road': 'Canoe Pass Way', 'retail': 'Tsawwassen Commons', 'city': 'Delta', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V4E 0B3', 'country': 'Canada', 'country_code': 'ca'}",charging_station,Delta,49.0394797,-123.0862077,,"{'socket:type1': '2', 'operator': 'Flo', 'capacity': '2'}",2020-04-27T23:54:08.000-07:00
"{'shop': 'Tsawwassen Mills', 'house_number': '5000', 'road': 'Canoe Pass Way', 'retail': 'Tsawwassen Commons', 'city': 'Delta', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V4E 0B3', 'country': 'Canada', 'country_code': 'ca'}",charging_station,Delta,49.0386,-123.081,,"{'socket:type1': '2', 'operator': 'Flo', 'capacity': '4'}",2020-04-27T23:54:08.000-07:00
