address,amenity,city,lat,lon,name,tags,timestamp
"{'amenity': 'Bodyside Laser Clinic', 'road': 'Highland Boulevard', 'retail': 'Edgemont Village', 'suburb': 'Highlands', 'city': 'District of North Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7R 2X6', 'country': 'Canada', 'country_code': 'ca'}",clinic,District of North Vancouver,49.3375593,-123.101329,Bodyside Laser Clinic,{'level': '1'},2015-05-15T03:59:52.000-07:00
"{'amenity': 'Edgemont Chiropractic Clinic', 'road': 'Highland Boulevard', 'retail': 'Edgemont Village', 'suburb': 'Highlands', 'city': 'District of North Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7R 2X6', 'country': 'Canada', 'country_code': 'ca'}",clinic,District of North Vancouver,49.3379382,-123.1014764,Edgemont Chiropractic Clinic,{},2015-05-18T02:26:56.000-07:00
"{'amenity': 'Delbrook Community Recreation Center', 'road': 'West Queens Road', 'suburb': 'Highlands', 'city': 'District of North Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7N 2L3', 'country': 'Canada', 'country_code': 'ca'}",community_centre,District of North Vancouver,49.33625479999999,-123.0927596,Delbrook Community Recreation Center,{},2017-06-27T17:11:43.000-07:00
"{'shop': 'The Coveside', 'road': 'Gallant Avenue', 'suburb': 'Deep Cove', 'city': 'District of North Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7G 2L8', 'country': 'Canada', 'country_code': 'ca'}",doctors,District of North Vancouver,49.326631,-122.95150090000001,Deep Cove Medical Clinic,"{'healthcare:speciality': 'general', 'addr:housenumber': '4313', 'addr:street': 'Gallant Avenue', 'level': '0', 'healthcare': 'doctor'}",2019-12-21T16:15:38.000-08:00
"{'amenity': 'Deep Cove Ice Cream Café', 'house_number': '4367', 'road': 'Gallant Avenue', 'suburb': 'Deep Cove', 'city': 'District of North Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7G 2L8', 'country': 'Canada', 'country_code': 'ca'}",ice_cream,District of North Vancouver,49.3266808,-122.9502983,Deep Cove Ice Cream Café,"{'addr:housenumber': '4367', 'alt_name': 'Deep Cove Café', 'addr:street': 'Gallant Avenue', 'level': '0'}",2019-12-21T20:00:30.000-08:00
"{'amenity': 'Gelato Express', 'house_number': '4379', 'road': 'Gallant Avenue', 'suburb': 'Deep Cove', 'city': 'District of North Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7G 2L8', 'country': 'Canada', 'country_code': 'ca'}",ice_cream,District of North Vancouver,49.3266815,-122.94995120000002,Gelato Express,"{'addr:housenumber': '4379', 'addr:street': 'Gallant Avenue', 'level': '0'}",2019-12-21T20:00:30.000-08:00
"{'amenity': 'North Vancouver District Public Library — Capilano Branch', 'house_number': '3045', 'road': 'Highland Boulevard', 'retail': 'Edgemont Village', 'suburb': 'Highlands', 'city': 'District of North Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7R 2X6', 'country': 'Canada', 'country_code': 'ca'}",library,District of North Vancouver,49.3373362,-123.1028994,North Vancouver District Public Library — Capilano Branch,"{'opening_hours': 'Mo-Fr 10:00-21:00; Sa 10:00-17:00; Su 12:00-17:00', 'addr:housenumber': '3045', 'addr:street': 'Highland Boulevard'}",2019-01-12T04:22:02.000-08:00
"{'amenity': 'North Vancouver District Public Library - Lynn Valley', 'house_number': '1277', 'road': 'Lynn Valley Road', 'suburb': 'Lynn Valley', 'city': 'District of North Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7J', 'country': 'Canada', 'country_code': 'ca'}",library,District of North Vancouver,49.33639270000001,-123.0386291,North Vancouver District Public Library - Lynn Valley,"{'opening_hours': 'Mo-Fr 09:00-21:00; Sa 09:00-17:00; Su 12:00-17:00', 'addr:housenumber': '1277', 'addr:street': 'Lynn Valley Road', 'phone': '+1-604-984-0286'}",2019-01-12T04:19:57.000-08:00
"{'road': 'Gladwin Drive', 'suburb': 'Pemberton Heights', 'city': 'District of North Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7R 3X5', 'country': 'Canada', 'country_code': 'ca'}",place_of_worship,District of North Vancouver,49.332978000000004,-123.105134,,{},2015-12-25T04:32:52.000-08:00
"{'road': 'Deep Cove Road', 'suburb': 'Cove Cliff', 'city': 'District of North Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7G 1P8', 'country': 'Canada', 'country_code': 'ca'}",place_of_worship,District of North Vancouver,49.3192885,-122.95319609999999,,{},2010-04-28T22:29:46.000-07:00
