address,amenity,city,lat,lon,name,tags,timestamp
"{'house_number': '5910', 'road': 'Berton Avenue', 'neighbourhood': 'Wesbrook Village', 'city': 'Electoral Area A', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6S 0B3', 'country': 'Canada', 'country_code': 'ca'}",atm,Electoral Area A,49.2550011,-123.2359418,,"{'entrance': 'yes', 'operator': 'RBC Royal Bank'}",2015-10-17T16:28:18.000-07:00
"{'emergency': 'Main Mall & Agricultural Road', 'road': 'Main Mall', 'suburb': 'University of British Columbia', 'city': 'Electoral Area A', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6T 1Z1', 'country': 'Canada', 'country_code': 'ca'}",atm,Electoral Area A,49.2659234,-123.2539455,,{'operator': 'TD Canada Trust'},2011-04-06T23:58:43.000-07:00
"{'building': 'Acadia High Rise', 'house_number': '2725', 'road': 'Melfa Road', 'residential': 'Acadia Park Residences', 'suburb': 'University of British Columbia', 'city': 'Electoral Area A', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6T 2E5', 'country': 'Canada', 'country_code': 'ca'}",atm,Electoral Area A,49.263058799999996,-123.2366293,,{},2016-10-20T04:56:07.000-07:00
"{'city': 'Electoral Area A', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'country': 'Canada', 'country_code': 'ca'}",car_sharing,Electoral Area A,49.2583699,-123.2358686,,"{'operator': 'Modo', 'capacity': '1'}",2011-04-05T17:07:09.000-07:00
"{'amenity': 'University of British Columbia', 'road': 'Engineering Lane', 'suburb': 'University of British Columbia', 'city': 'Electoral Area A', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6T 1L9', 'country': 'Canada', 'country_code': 'ca'}",car_sharing,Electoral Area A,49.259240500000004,-123.24613049999999,,"{'operator': 'Modo', 'capacity': '1'}",2011-04-05T17:07:08.000-07:00
"{'building': 'Faculty & Staff Housing - Larkspur House', 'road': 'Wesbrook Mall', 'neighbourhood': 'Wesbrook Village', 'city': 'Electoral Area A', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6T 1Z4', 'country': 'Canada', 'country_code': 'ca'}",car_sharing,Electoral Area A,49.2535042,-123.23440790000001,,"{'operator': 'Modo', 'capacity': '1'}",2011-04-05T16:50:04.000-07:00
"{'building': 'Fraser Hall', 'house_number': '2550', 'road': 'Wesbrook Mall', 'suburb': 'University of British Columbia', 'city': 'Electoral Area A', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6T 2B7', 'country': 'Canada', 'country_code': 'ca'}",car_sharing,Electoral Area A,49.26125,-123.2406722,,"{'operator': 'Modo', 'capacity': '1'}",2019-02-21T04:55:52.000-08:00
"{'building': 'Macdonald Building', 'house_number': '2199', 'road': 'Wesbrook Mall', 'suburb': 'University of British Columbia', 'city': 'Electoral Area A', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6T 1K6', 'country': 'Canada', 'country_code': 'ca'}",car_sharing,Electoral Area A,49.2654987,-123.24500249999998,,{'operator': 'Evo'},2017-07-09T18:28:07.000-07:00
"{'building': 'Prodigy', 'road': 'Gray Avenue', 'neighbourhood': 'Wesbrook Village', 'city': 'Electoral Area A', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6S 0A9', 'country': 'Canada', 'country_code': 'ca'}",car_sharing,Electoral Area A,49.25134310000001,-123.2359782,,{},2017-07-09T18:28:06.000-07:00
"{'building': 'UBC Hospital', 'house_number': '2211', 'road': 'Wesbrook Mall', 'suburb': 'University of British Columbia', 'city': 'Electoral Area A', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6T 2B5', 'country': 'Canada', 'country_code': 'ca'}",car_sharing,Electoral Area A,49.2650283,-123.2446104,,{'operator': 'Car2go'},2017-07-09T18:28:06.000-07:00
"{'leisure': 'Pacific Spirit Regional Park', 'road': 'Clinton Trail', 'city': 'Electoral Area A', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6N 2C4', 'country': 'Canada', 'country_code': 'ca'}",charging_station,Electoral Area A,49.2588778,-123.2224137,,"{'parking:fee': 'no', 'fee': 'yes'}",2018-05-13T22:04:34.000-07:00
"{'amenity': 'University Village Medical & Dental Clinic', 'road': 'Birney Avenue', 'neighbourhood': 'Wesbrook Village', 'suburb': 'University of British Columbia', 'city': 'Electoral Area A', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6S 0B9', 'country': 'Canada', 'country_code': 'ca'}",clinic,Electoral Area A,49.253575299999994,-123.2355353,University Village Medical & Dental Clinic,{'healthcare': 'clinic'},2019-04-29T21:29:21.000-07:00
"{'amenity': 'Leisure Centre', 'road': 'The Berkshire', 'residential': 'Thames Court', 'city': 'Electoral Area A', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6S 0B4', 'country': 'Canada', 'country_code': 'ca'}",community_centre,Electoral Area A,49.2568641,-123.2358195,Leisure Centre,{},2010-03-28T11:09:27.000-07:00
"{'building': 'Central', 'road': 'University Boulevard', 'suburb': 'University of British Columbia', 'city': 'Electoral Area A', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6T 0C5', 'country': 'Canada', 'country_code': 'ca'}",ice_cream,Electoral Area A,49.2664945,-123.24688870000001,Rain or Shine,{},2018-08-23T04:02:34.000-07:00
"{'amenity': 'Computer Science Reading Room', 'house_number': '2366', 'road': 'Main Mall', 'suburb': 'University of British Columbia', 'city': 'Electoral Area A', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6T 1Z1', 'country': 'Canada', 'country_code': 'ca'}",library,Electoral Area A,49.2612513,-123.2491887,Computer Science Reading Room,{'operator': 'UBC Department of Computer Science'},2018-10-04T05:30:35.000-07:00
"{'building': 'Arbutus House', 'road': 'Lower Mall', 'residential': 'Marine Drive Residence', 'suburb': 'University of British Columbia', 'city': 'Electoral Area A', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6T 1Z2', 'country': 'Canada', 'country_code': 'ca'}",recycling,Electoral Area A,49.2631121,-123.25594939999999,,"{'recycling:clothes': 'yes', 'colour': 'white', 'level': '0', 'recycling:shoes': 'yes', 'recycling:books': 'yes', 'operator': 'Developmental Disabilities Association'}",2018-12-28T08:10:13.000-08:00
"{'amenity': 'E-Waste Drop-off', 'road': 'Lower Mall', 'residential': 'Marine Drive Residence', 'suburb': 'University of British Columbia', 'city': 'Electoral Area A', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6T 1Z2', 'country': 'Canada', 'country_code': 'ca'}",recycling,Electoral Area A,49.26082279999999,-123.25381029999998,E-Waste Drop-off,"{'indoor': 'no', 'recycling_type': 'container', 'recycling:electrical_items': 'yes', 'operator': 'UBC Waste Management', 'covered': 'yes'}",2019-09-15T05:38:01.000-07:00
