address,amenity,city,lat,lon,name,tags,timestamp
"{'shop': 'Langley Mall', 'house_number': '5501', 'road': '204 Street', 'city': 'Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3A 5N8', 'country': 'Canada', 'country_code': 'ca'}",atm,Langley,49.102581,-122.65837169999999,TD Canada Trust,{'brand': 'Green Machine'},2019-05-02T06:04:06.000-07:00
"{'shop': 'Jonker Honda', 'house_number': '19515', 'road': 'Langley Bypass', 'city': 'Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3S 7H1', 'country': 'Canada', 'country_code': 'ca'}",charging_station,Langley,49.1095463,-122.68189450000001,,{'access': 'private'},2019-12-01T06:04:04.000-08:00
"{'amenity': 'Glover Medical Centre', 'house_number': '101-5796', 'road': 'Glover Road', 'city': 'Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3A 4H9', 'country': 'Canada', 'country_code': 'ca'}",clinic,Langley,49.10801470000001,-122.65045159999998,Glover Medical Centre,"{'note': 'This is a medical clinic, offering additional services such as flu shot clinics, pap screenings, and clinical trial research studies.', 'addr:housenumber': '101-5796', 'alt_name': 'Glover Medical Clinic', 'website': 'https://www.glovermedical.com/', 'phone': '+1-604-530-3233', 'emergency': 'no', 'addr:street': 'Glover Road', 'type': 'clinic', 'addr:postcode': 'V3A 4H9', 'healthcare': 'clinic', 'addr:city': 'Langley'}",2019-09-03T20:11:47.000-07:00
"{'amenity': 'Travel Medicine & Vaccination Centre', 'road': 'Fraser Highway', 'city': 'Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3A 4E6', 'country': 'Canada', 'country_code': 'ca'}",clinic,Langley,49.1059404,-122.66138899999999,Travel Medicine & Vaccination Centre,"{'website': 'http://www.tmvs.com/', 'healthcare': 'clinic'}",2019-10-12T04:50:13.000-07:00
"{'amenity': 'Family Care Pharmacy', 'house_number': '5581', 'road': '204 Street', 'city': 'Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3A 1W7', 'country': 'Canada', 'country_code': 'ca'}",clinic,Langley,49.104304,-122.6567774,,"{'healthcare:speciality': 'general', 'healthcare': 'doctor'}",2019-05-02T06:04:04.000-07:00
"{'amenity': 'Timms Community Centre', 'house_number': '20399', 'road': 'Douglas Crescent', 'city': 'Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3A 1W7', 'country': 'Canada', 'country_code': 'ca'}",community_centre,Langley,49.103842,-122.65717179999999,Timms Community Centre,"{'addr:housenumber': '20399', 'addr:street': 'Douglas Crescent'}",2017-02-19T20:28:28.000-08:00
"{'shop': 'Langley Mall', 'house_number': '5501', 'road': '204 Street', 'city': 'Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3A 5N8', 'country': 'Canada', 'country_code': 'ca'}",doctors,Langley,49.102455299999995,-122.65755130000001,Langley City Family Practice,"{'healthcare:speciality': 'general', 'healthcare': 'doctor'}",2019-05-02T06:04:06.000-07:00
"{'amenity': 'Healthway Medical clinic', 'house_number': '20200', 'road': 'Fraser Highway', 'city': 'Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3A 4E6', 'country': 'Canada', 'country_code': 'ca'}",doctors,Langley,49.1060437,-122.66286770000002,Healthway Medical clinic,"{'addr:housenumber': '20200', 'level': '0', 'healthcare:speciality': 'general', 'addr:street': 'Fraser Highway', 'addr:postcode': 'V3A 4E6', 'healthcare': 'doctor'}",2019-05-07T04:34:59.000-07:00
"{'amenity': 'St Luke Family Practice', 'road': 'Glover Road', 'city': 'Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3A 4H9', 'country': 'Canada', 'country_code': 'ca'}",doctors,Langley,49.10864760000001,-122.65063470000001,St Luke Family Practice,"{'healthcare:speciality': 'general', 'healthcare': 'doctor'}",2019-05-07T13:26:08.000-07:00
"{'amenity': 'City of Langley Library', 'house_number': '20399', 'road': 'Douglas Crescent', 'city': 'Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3A 1W7', 'country': 'Canada', 'country_code': 'ca'}",library,Langley,49.1038139,-122.6570565,City of Langley Library,"{'addr:housenumber': '20399', 'website': 'https://fvrl.bibliocommons.com/locations/LY', 'internet_access': 'wlan', 'phone': '+1-604-514-2850', 'opening_hours': 'Mo-Th 09:00-21:00; Fr 09:00-17:00; Sa 10:00-17:00; Su 13:00-17:00', 'addr:street': 'Douglas Crescent', 'operator': 'Fraser Valley Regional Library'}",2019-01-09T21:49:01.000-08:00
"{'shop': 'Langley Mall', 'house_number': '5501', 'road': '204 Street', 'city': 'Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3A 5N8', 'country': 'Canada', 'country_code': 'ca'}",place_of_worship,Langley,49.1021237,-122.6578541,Southgate Church,{'religion': 'christian'},2015-05-25T09:32:10.000-07:00
"{'amenity': 'Langley Evangelical Free Church', 'road': '48 Avenue', 'city': 'Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3A 9H1', 'country': 'Canada', 'country_code': 'ca'}",place_of_worship,Langley,49.089837,-122.647255,Langley Evangelical Free Church,"{'denomination': 'free_evangelical', 'religion': 'christian'}",2011-05-18T13:02:05.000-07:00
