address,amenity,city,lat,lon,name,tags,timestamp
"{'amenity': 'Electric Car Charger', 'road': 'McIntosh Avenue', 'city': 'Maple Ridge', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V2X 6G2', 'country': 'Canada', 'country_code': 'ca'}",charging_station,Maple Ridge,49.219469399999994,-122.6013053,,"{'operator': 'City of Maple Ridge / ChargePoint', 'capacity': '2'}",2018-08-05T19:52:38.000-07:00
"{'amenity': 'Electric Car Charger', 'road': 'Dewdney Trunk Road', 'city': 'Maple Ridge', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V2X 7X0', 'country': 'Canada', 'country_code': 'ca'}",charging_station,Maple Ridge,49.2203566,-122.59882749999998,,"{'operator': 'City of Maple Ridge / ChargePoint', 'capacity': '2'}",2018-08-05T19:52:38.000-07:00
"{'amenity': 'Westgate Medical Clinic', 'house_number': '20395', 'road': 'Lougheed Highway', 'city': 'Maple Ridge', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V2X 2P9', 'country': 'Canada', 'country_code': 'ca'}",clinic,Maple Ridge,49.219097999999995,-122.65481559999999,Westgate Medical Clinic,"{'addr:housenumber': '20395', 'website': 'www.westgatemedical.ca', 'addr:street': 'Lougheed Highway', 'addr:postcode': 'V2X 2P9', 'addr:unit': '402', 'healthcare': 'clinic', 'addr:city': 'Maple Ridge'}",2019-09-13T13:57:04.000-07:00
"{'amenity': 'Golden Ears Pharmacy', 'house_number': '22722', 'road': 'Lougheed Highway', 'city': 'Maple Ridge', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V2X 2V6', 'country': 'Canada', 'country_code': 'ca'}",clinic,Maple Ridge,49.2163778,-122.59244509999999,The Grey Clinic,"{'addr:housenumber': '22722', 'phone': '+1-604-463-4165', 'addr:street': 'Lougheed Highway', 'fax': '+1-604-463-9987', 'addr:postcode': 'V2X 2V6', 'addr:unit': '106', 'healthcare': 'clinic', 'addr:city': 'Maple Ridge'}",2018-10-25T14:21:04.000-07:00
"{'amenity': 'Ridge Meadows Maternity Clinic', 'house_number': '20580', 'road': 'Lougheed Highway', 'city': 'Maple Ridge', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V2X 2P8', 'country': 'Canada', 'country_code': 'ca'}",clinic,Maple Ridge,49.2181177,-122.6516943,Ridge Meadows Maternity Clinic,"{'addr:housenumber': '20580', 'phone': '+1-604-460-4444', 'healthcare:speciality': 'maternity', 'addr:street': 'Lougheed Highway', 'fax': '+1-604-460-0044', 'addr:postcode': 'V2X 2P8', 'healthcare': 'clinic', 'addr:city': 'Maple Ridge'}",2018-10-25T14:21:03.000-07:00
"{'amenity': 'Maple Ridge Public Library', 'house_number': '22470', 'road': 'Dewdney Trunk Road', 'city': 'Maple Ridge', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V2X 7X0', 'country': 'Canada', 'country_code': 'ca'}",library,Maple Ridge,49.219939000000004,-122.59994760000001,Maple Ridge Public Library,"{'addr:housenumber': '22470', 'website': 'https://fvrl.bibliocommons.com/locations/MR', 'internet_access': 'wlan', 'phone': '+1-604-467-7417', 'opening_hours': 'Mo-Fr 10:00-21:00; Sa 10:00-17:00; Su 13:00-17:00', 'addr:street': 'Dewdney Trunk Road', 'addr:unit': '130', 'operator': 'Fraser Valley Regional Library', 'addr:city': 'Maple Ridge'}",2019-09-13T13:57:05.000-07:00
"{'amenity': 'BCNW', 'house_number': '20245', 'road': 'Dewdney Trunk Road', 'city': 'Maple Ridge', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V2X 3C9', 'country': 'Canada', 'country_code': 'ca'}",place_of_worship,Maple Ridge,49.221862200000004,-122.6599878,Maple Ridge Christian Reformed Church,"{'addr:housenumber': '20245', 'website': 'http://www.mapleridgecrc.com/', 'addr:street': 'Dewdney Trunk Road', 'addr:postcode': 'V2X 3C9', 'denomination': 'christian', 'addr:city': 'Maple Ridge'}",2019-09-13T13:57:04.000-07:00
"{'amenity': ""St Luke's Catholic Church"", 'house_number': '20285', 'road': 'Dewdney Trunk Road', 'city': 'Maple Ridge', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V2X 3C9', 'country': 'Canada', 'country_code': 'ca'}",place_of_worship,Maple Ridge,49.222555,-122.65873359999999,St Luke's Catholic Church,"{'addr:housenumber': '20285', 'addr:street': 'Dewdney Trunk Road', 'addr:postcode': 'V2X 3C9', 'addr:city': 'Maple Ridge'}",2019-09-13T13:56:49.000-07:00
"{'amenity': 'Maple Ridge Alliance Church', 'road': 'Dewdney Trunk Road', 'city': 'Maple Ridge', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V2X 3C9', 'country': 'Canada', 'country_code': 'ca'}",place_of_worship,Maple Ridge,49.2218277,-122.655869,Maple Ridge Alliance Church,{'name:en': 'Maple Ridge Alliance Church'},2020-06-02T17:27:53.000-07:00
"{'amenity': 'Golden Ears United', 'road': 'Dewdney Trunk Road', 'suburb': 'Haney', 'city': 'Maple Ridge', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V2X 5P6', 'country': 'Canada', 'country_code': 'ca'}",place_of_worship,Maple Ridge,49.2208995,-122.60798249999999,Golden Ears United,"{'building': 'church', 'denomination': 'united', 'religion': 'christian'}",2017-09-22T04:39:25.000-07:00
"{'amenity': 'Yennadon School', 'road': '128 Avenue', 'suburb': 'Yennadon', 'city': 'Maple Ridge', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V2X 3L8', 'country': 'Canada', 'country_code': 'ca'}",school,Maple Ridge,49.2354469,-122.5758575,Yennadon School,{},2012-02-09T05:59:11.000-08:00
"{'road': 'River Road', 'suburb': 'Albion', 'city': 'Maple Ridge', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V2W 1C1', 'country': 'Canada', 'country_code': 'ca'}",vending_machine,Maple Ridge,49.19881210000001,-122.5791588,,"{'vending': 'excrement_bags', 'fee': 'no'}",2018-01-01T17:26:32.000-08:00
"{'road': '256 Street', 'suburb': ""Webster's Corners"", 'city': 'Maple Ridge', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V2W 2G4', 'country': 'Canada', 'country_code': 'ca'}",vending_machine,Maple Ridge,49.211139,-122.5096956,,"{'vending': 'excrement_bags', 'fee': 'no'}",2018-01-01T06:44:36.000-08:00
"{'road': 'River Road', 'suburb': 'Albion', 'city': 'Maple Ridge', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V2W 1C1', 'country': 'Canada', 'country_code': 'ca'}",vending_machine,Maple Ridge,49.199832799999996,-122.57976029999999,,"{'vending': 'excrement_bags', 'fee': 'no'}",2018-01-01T17:26:29.000-08:00
"{'road': 'Chatwin Avenue', 'city': 'Maple Ridge', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V2X 3C9', 'country': 'Canada', 'country_code': 'ca'}",bureau_de_change,Maple Ridge,49.2275435,-122.65767220000001,,{},2020-05-30T05:31:13.000-07:00
