address,amenity,city,lat,lon,name,tags,timestamp
"{'building': 'Westminster Mall', 'road': 'Fifth Street', 'neighbourhood': 'Queens Park', 'city_district': 'Queens Park', 'city': 'New Westminster', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3L 5H0', 'country': 'Canada', 'country_code': 'ca'}",atm,New Westminster,49.2121346,-122.91883999999999,,{'operator': 'Vancity'},2010-10-23T17:09:11.000-07:00
"{'amenity': 'Starlight Casino', 'house_number': '350', 'road': 'Gifford Street', 'city_district': 'Queensborough', 'city': 'New Westminster', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3M 0G2', 'country': 'Canada', 'country_code': 'ca'}",atm,New Westminster,49.1858703,-122.9559798,,{},2017-03-19T05:56:07.000-07:00
"{'amenity': 'Starlight Casino', 'house_number': '350', 'road': 'Gifford Street', 'city_district': 'Queensborough', 'city': 'New Westminster', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3M 0G2', 'country': 'Canada', 'country_code': 'ca'}",atm,New Westminster,49.1865385,-122.95655149999999,,{},2017-03-19T05:56:13.000-07:00
"{'road': 'Eighth Street', 'neighbourhood': 'Brow of the Hill', 'city_district': 'Brow of the Hill', 'city': 'New Westminster', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3M 3N7', 'country': 'Canada', 'country_code': 'ca'}",car_sharing,New Westminster,49.2030841,-122.91415400000001,,"{'operator': 'Zipcars', 'capacity': '2'}",2017-05-01T04:41:23.000-07:00
"{'highway': 'Braid Station Bay 1', 'road': 'Braid Station Access Road', 'neighbourhood': 'Sapperton', 'city_district': 'McBride Sapperton', 'city': 'New Westminster', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3L 3P2', 'country': 'Canada', 'country_code': 'ca'}",car_sharing,New Westminster,49.23234160000001,-122.882883,,"{'operator': 'Evo', 'capacity': '4'}",2018-03-26T03:22:06.000-07:00
"{'highway': 'Braid Station Bay 1', 'road': 'Braid Station Access Road', 'neighbourhood': 'Sapperton', 'city_district': 'McBride Sapperton', 'city': 'New Westminster', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3L 3P2', 'country': 'Canada', 'country_code': 'ca'}",car_sharing,New Westminster,49.2323376,-122.8831233,,"{'operator': 'Modo', 'capacity': '1'}",2018-03-26T03:22:06.000-07:00
"{'road': 'Eighth Street', 'neighbourhood': 'Brow of the Hill', 'city_district': 'Brow of the Hill', 'city': 'New Westminster', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3M 3N7', 'country': 'Canada', 'country_code': 'ca'}",car_sharing,New Westminster,49.2030211,-122.914274,,"{'operator': 'Evo', 'capacity': '6'}",2018-08-20T03:46:08.000-07:00
"{'house_number': '615', 'road': 'Belmont Street', 'city_district': 'Brow of the Hill', 'city': 'New Westminster', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3M 3C0', 'country': 'Canada', 'country_code': 'ca'}",car_sharing,New Westminster,49.2116471,-122.9205879,,"{'operator': 'Modo', 'capacity': '1'}",2018-08-20T03:46:08.000-07:00
"{'amenity': 'Douglas College New Westminster Campus', 'house_number': '700', 'road': 'Royal Avenue', 'neighbourhood': 'Downtown', 'city_district': 'Downtown', 'city': 'New Westminster', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3M 5Z5', 'country': 'Canada', 'country_code': 'ca'}",car_sharing,New Westminster,49.20374279999999,-122.91413119999999,,"{'operator': 'Evo', 'capacity': '2'}",2017-09-04T18:57:39.000-07:00
"{'amenity': 'New Westminster City Hall', 'road': 'Sixth Street', 'neighbourhood': 'Downtown', 'city_district': 'Downtown', 'city': 'New Westminster', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3L 5B3', 'country': 'Canada', 'country_code': 'ca'}",charging_station,New Westminster,49.2069215,-122.91108020000001,,{},2017-02-28T06:57:47.000-08:00
