address,amenity,city,lat,lon,name,tags,timestamp
"{'man_made': 'White Rock Pump Station', 'road': 'The Promenade', 'neighbourhood': 'Five Corners', 'suburb': 'West Beach', 'town': 'White Rock', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V4B 1C2', 'country': 'Canada', 'country_code': 'ca'}",atm,Null,49.02336210000001,-122.81289890000001,,{},2020-01-02T18:36:24.000-08:00
"{'amenity': 'Dolce Gelato', 'house_number': '15045', 'road': 'Marine Drive', 'neighbourhood': 'Five Corners', 'suburb': 'West Beach', 'town': 'White Rock', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V4B 1C2', 'country': 'Canada', 'country_code': 'ca'}",atm,Null,49.021426899999994,-122.80573559999999,,{},2020-01-03T05:20:18.000-08:00
"{'amenity': 'White Rock Community Centre', 'house_number': '15154', 'road': 'Russell Avenue', 'neighbourhood': 'Uptown', 'suburb': 'West Beach', 'town': 'White Rock', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V4B 3Z0', 'country': 'Canada', 'country_code': 'ca'}",community_centre,Null,49.0290227,-122.8020832,White Rock Community Centre,"{'opening_hours': 'Mo-Th 08:30-18:00; Fr 08:30-16:30; Sa 09:00-13:00; PH off', 'addr:housenumber': '15154', 'addr:street': 'Russell Avenue', 'operator': 'City of White Rock', 'addr:city': 'White Rock'}",2020-04-15T18:49:01.000-07:00
"{'amenity': 'Centennial Park Leisure Centre and Arena', 'house_number': '14600', 'road': '16 Avenue - North Bluff Road', 'suburb': 'West Beach', 'city_district': 'South Surrey', 'town': 'White Rock', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V4B 0A8', 'country': 'Canada', 'country_code': 'ca'}",community_centre,Null,49.0292491,-122.81670859999998,Centennial Park Leisure Centre and Arena,"{'opening_hours': 'Mo-Su 06:00-23:00', 'addr:housenumber': '14600', 'addr:street': 'North Bluff Road'}",2019-01-16T03:50:29.000-08:00
"{'amenity': 'Horst and Emmy Werner Centre for Active Living', 'house_number': '1475', 'road': 'Anderson Street', 'suburb': 'West Beach', 'town': 'White Rock', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V4B 0A8', 'country': 'Canada', 'country_code': 'ca'}",community_centre,Null,49.0287964,-122.81673020000001,Horst and Emmy Werner Centre for Active Living,"{'opening_hours': 'Mo-Th 07:00-21:00; Fr 07:00-19:00; Sa 09:00-17:00; Su,PH off', 'addr:housenumber': '1475', 'addr:street': 'Anderson Street'}",2019-09-02T22:08:26.000-07:00
"{'amenity': 'Mission Division of Family Practice', 'road': 'Hurd Street', 'suburb': 'West Heights', 'town': 'Mission', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'postcode': 'V2V 3H5', 'country': 'Canada', 'country_code': 'ca'}",doctors,Null,49.1356697,-122.332978,Mission Division of Family Practice,"{'healthcare:speciality': 'general', 'healthcare': 'doctor'}",2019-05-27T21:44:12.000-07:00
"{'amenity': 'Drs. R & G Siemens', 'road': 'Hillcrest Avenue', 'suburb': 'West Heights', 'town': 'Mission', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'postcode': 'V2V 3H5', 'country': 'Canada', 'country_code': 'ca'}",doctors,Null,49.1357257,-122.3329768,Drs. R & G Siemens,"{'healthcare:speciality': 'general', 'healthcare': 'doctor'}",2019-05-27T21:44:13.000-07:00
"{'shop': 'Real Canadian Superstore', 'house_number': '32136', 'road': 'Lougheed Highway', 'suburb': 'West Heights', 'town': 'Mission', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'postcode': 'V2V 1A4', 'country': 'Canada', 'country_code': 'ca'}",doctors,Null,49.131376700000004,-122.3327611,Mission Oaks Medical Centre,"{'website': 'https://www.missionoaksmedical.ca/', 'phone': '+1-604-826-7996', 'healthcare:centre': 'yes', 'healthcare:speciality': 'general', 'opening_hours': 'Mo-Fr 08:00-18:00; Sa-Su 09:00-13:00', 'healthcare': 'doctor'}",2019-09-02T22:08:26.000-07:00
"{'amenity': 'Mission Hills Medical Clinic', 'house_number': '32471', 'road': 'Lougheed Highway', 'suburb': 'West Heights', 'town': 'Mission', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'postcode': 'V2V 0C8', 'country': 'Canada', 'country_code': 'ca'}",doctors,Null,49.1336643,-122.32560559999999,Mission Hills Medical Clinic,"{'healthcare:speciality': 'general', 'addr:unit': '107', 'healthcare': 'doctor'}",2019-05-19T15:52:06.000-07:00
"{'amenity': 'Cedar Care Clinic', 'road': 'Lougheed Highway', 'suburb': 'West Heights', 'town': 'Mission', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'postcode': 'V2V 1A5', 'country': 'Canada', 'country_code': 'ca'}",doctors,Null,49.13364910000001,-122.3270262,Cedar Care Clinic,"{'healthcare:speciality': 'general', 'healthcare': 'doctor'}",2019-05-19T14:14:03.000-07:00
