address,amenity,city,lat,lon,name,tags,timestamp
"{'amenity': 'Moody Centre Station', 'road': 'Hugh Street', 'city': 'Port Moody', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3H 2C1', 'country': 'Canada', 'country_code': 'ca'}",atm,Port Moody,49.2778061,-122.84564040000001,,{'operator': 'DC Bank'},2017-08-28T01:16:02.000-07:00
"{'road': 'David Avenue', 'suburb': 'Eagle Ridge', 'city': 'Port Moody', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3H 3X1', 'country': 'Canada', 'country_code': 'ca'}",atm,Port Moody,49.2972692,-122.8222791,,{'opening_hours': '24/7'},2017-05-07T17:06:36.000-07:00
"{'house_number': '3006', 'road': 'Spring Street', 'city': 'Port Moody', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3H 2C0', 'country': 'Canada', 'country_code': 'ca'}",car_sharing,Port Moody,49.2771502,-122.84482379999999,,"{'operator': 'Modo', 'capacity': '1'}",2018-11-07T05:31:42.000-08:00
"{'amenity': 'Newport Medical Clinic', 'house_number': '205', 'road': 'Newport Drive', 'suburb': 'Eagle Ridge', 'city': 'Port Moody', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3H 5C9', 'country': 'Canada', 'country_code': 'ca'}",clinic,Port Moody,49.28279600000001,-122.82775759999998,Newport Medical Clinic,"{'healthcare:speciality': 'general;plastic_surgery', 'healthcare': 'clinic'}",2019-08-16T20:21:48.000-07:00
"{'amenity': 'Port Moody Arts Centre (Old City Hall)', 'house_number': '2425', 'road': 'Saint Johns Street', 'city': 'Port Moody', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3H 2B2', 'country': 'Canada', 'country_code': 'ca'}",community_centre,Port Moody,49.2763126,-122.85725359999998,Port Moody Arts Centre (Old City Hall),"{'addr:housenumber': '2425', 'name:en': 'Port Moody Arts Centre (Old City Hall)', 'addr:street': 'Saint Johns Street'}",2017-12-12T13:23:11.000-08:00
"{'amenity': '101/103 Parkside Drive Recreational Complex', 'road': 'Parkside Drive', 'suburb': 'Eagle Ridge', 'city': 'Port Moody', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3H 5K6', 'country': 'Canada', 'country_code': 'ca'}",community_centre,Port Moody,49.290889899999996,-122.8375388,101/103 Parkside Drive Recreational Complex,"{'opening_hours': 'Mo-Su 06:00-22:00', 'name:en': '101/103 Parkside Drive Recreational Complex'}",2016-08-25T16:49:03.000-07:00
"{'amenity': 'Rocky Point Ice Cream', 'road': 'Murray Street', 'city': 'Port Moody', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3H 1X3', 'country': 'Canada', 'country_code': 'ca'}",ice_cream,Port Moody,49.279477899999996,-122.8494092,Rocky Point Ice Cream,{'cuisine': 'ice_cream'},2019-08-24T19:43:10.000-07:00
"{'amenity': 'Casa Dolce Gelato', 'road': 'Guildford Way', 'suburb': 'Eagle Ridge', 'city': 'Port Moody', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3H 5B9', 'country': 'Canada', 'country_code': 'ca'}",ice_cream,Port Moody,49.2824941,-122.82560520000001,Casa Dolce Gelato,{},2019-08-18T08:46:59.000-07:00
"{'amenity': ""Menchie's"", 'house_number': '130', 'road': 'Brew Street', 'retail': 'Suter Brook Village', 'suburb': 'Eagle Ridge', 'city': 'Port Moody', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3H 0E7', 'country': 'Canada', 'country_code': 'ca'}",ice_cream,Port Moody,49.28013170000001,-122.82815190000001,Menchie's,"{'brand:wikidata': 'Q6816528', 'cuisine': 'frozen_yogurt', 'brand': ""Menchie's"", 'brand:wikipedia': ""en:Menchie's Frozen Yogurt""}",2019-08-12T00:12:25.000-07:00
"{'amenity': 'Port Moody Library', 'house_number': '100', 'road': 'Newport Drive', 'suburb': 'Eagle Ridge', 'city': 'Port Moody', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3H 5C3', 'country': 'Canada', 'country_code': 'ca'}",library,Port Moody,49.2825169,-122.82964950000002,Port Moody Library,"{'addr:housenumber': '100', 'website': 'http://library.portmoody.ca', 'phone': '+1-604-469-4577', 'opening_hours': 'Mo-Fr 09:00-21:00; Sa 09:00-17:00; Su 13:00-17:00; PH off', 'addr:street': 'Newport Drive', 'wikipedia': 'en:Port Moody', 'wikidata': 'Q776261'}",2019-08-12T21:09:14.000-07:00
