address,amenity,city,lat,lon,name,tags,timestamp
"{'shop': 'McArthurGlen Designer Outlet Vancouver Airport', 'house_number': '1000-7899', 'road': 'Templeton Station Road', 'city_district': 'Sea Island', 'city': 'Richmond', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7B 0B7', 'country': 'Canada', 'country_code': 'ca'}",atm,Richmond,49.197176,-123.1399541,,{},2017-04-27T06:50:33.000-07:00
"{'house_number': '11980', 'road': 'Hammersmith Way', 'neighbourhood': ""Woodward's Landing"", 'suburb': 'Ironwood', 'city_district': 'Shellmont', 'city': 'Richmond', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7A 0A4', 'country': 'Canada', 'country_code': 'ca'}",atm,Richmond,49.126855600000006,-123.10030479999999,Robocoin ATM,"{'note': 'Machine is inside - 9am-5pm - Mon to Friday. Call after hours', 'addr:housenumber': 'Suite 1105 - 11980', 'payment:bitcoin': 'yes', 'phone': '+1-604-600-8591', 'addr:street': 'Hammersmith Way', 'addr:postcode': 'V7A 0A4', 'addr:city': 'Richmond'}",2019-09-13T13:56:49.000-07:00
"{'amenity': 'Waves Coffee House Robocoin Kiosk', 'road': 'No. 3 Road', 'suburb': 'Brighouse', 'city_district': 'City Centre', 'city': 'Richmond', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6Y 2B2', 'country': 'Canada', 'country_code': 'ca'}",atm,Richmond,49.1709381,-123.1366781,Waves Coffee House Robocoin Kiosk,"{'website': 'https://bitnational.com/', 'payment:bitcoin': 'yes'}",2019-03-16T06:53:52.000-07:00
"{'house_number': '3211', 'road': 'Grant McConachie Way', 'city_district': 'Sea Island', 'city': 'Richmond', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7B 1W0', 'country': 'Canada', 'country_code': 'ca'}",atm,Richmond,49.1945641,-123.17986200000001,,{'operator': 'RBC'},2016-09-05T18:18:25.000-07:00
"{'aeroway': 'Vancouver International Airport', 'road': 'Templeton Street', 'city_district': 'Sea Island', 'city': 'Richmond', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7B 1C7', 'country': 'Canada', 'country_code': 'ca'}",atm,Richmond,49.19366820000001,-123.18028770000001,,"{'indoor': 'yes', 'level': '-1', 'operator': 'RBC Royal Bank'}",2018-05-05T12:06:12.000-07:00
"{'aeroway': 'Vancouver International Airport', 'road': 'Templeton Street', 'city_district': 'Sea Island', 'city': 'Richmond', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7B 1C7', 'country': 'Canada', 'country_code': 'ca'}",atm,Richmond,49.1947963,-123.17687240000002,,{'operator': 'RBC'},2017-06-16T15:37:34.000-07:00
"{'house_number': '6800', 'road': 'Westminster Highway', 'city_district': 'Thompson', 'city': 'Richmond', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7C', 'country': 'Canada', 'country_code': 'ca'}",car_sharing,Richmond,49.1699839,-123.149251,,"{'operator': 'Modo', 'capacity': '1'}",2018-07-10T00:13:03.000-07:00
"{'amenity': 'ChargePoint', 'road': 'Commerce Parkway', 'commercial': 'Crestwood Corporate Centre', 'city_district': 'East Cambie', 'city': 'Richmond', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6V 2R2', 'country': 'Canada', 'country_code': 'ca'}",charging_station,Richmond,49.1764283,-123.07144650000001,ChargePoint,"{'brand:wikidata': 'Q5176149', 'access': 'permit', 'brand:wikipedia': 'en:ChargePoint', 'fee': 'yes', 'brand': 'ChargePoint', 'capacity': '2'}",2019-11-02T19:03:40.000-07:00
"{'amenity': 'ChargePoint', 'road': 'Commerce Parkway', 'commercial': 'Crestwood Corporate Centre', 'city_district': 'East Cambie', 'city': 'Richmond', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6V 2R2', 'country': 'Canada', 'country_code': 'ca'}",charging_station,Richmond,49.1749071,-123.0721936,ChargePoint,"{'brand:wikidata': 'Q5176149', 'access': 'permit', 'brand:wikipedia': 'en:ChargePoint', 'fee': 'yes', 'brand': 'ChargePoint', 'capacity': '2'}",2019-11-02T19:03:40.000-07:00
"{'house_number': '11662', 'road': 'Steveston Highway', 'suburb': 'Ironwood', 'city_district': 'Shellmont', 'city': 'Richmond', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7A 1N6', 'country': 'Canada', 'country_code': 'ca'}",charging_station,Richmond,49.1331473,-123.09490929999998,,"{'operator': 'Chargepoint', 'capacity': '2'}",2019-09-01T21:58:26.000-07:00
