address,amenity,city,lat,lon,name,tags,timestamp
"{'building': 'Brookswood Mall', 'road': '200B Street', 'city_district': 'Brookswood-Fernridge', 'city': 'Township of Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3A 2Y5', 'country': 'Canada', 'country_code': 'ca'}",atm,Township of Langley,49.0748799,-122.6679644,,{},2013-02-03T23:55:06.000-08:00
"{'shop': '7-Eleven', 'house_number': '21612', 'road': 'Fraser Highway', 'suburb': 'Murrayville', 'city_district': 'Murrayville', 'city': 'Township of Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3A 4H1', 'country': 'Canada', 'country_code': 'ca'}",atm,Township of Langley,49.09525770000001,-122.624036,,"{'operator': 'RBC', 'source': 'local_knowledge'}",2019-06-22T07:28:55.000-07:00
"{'amenity': ""Triple-O's"", 'road': '201 Street', 'suburb': 'Walnut Grove', 'city': 'Township of Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V1M 0B3', 'country': 'Canada', 'country_code': 'ca'}",atm,Township of Langley,49.174349799999995,-122.6666176,,{'operator': 'RBC'},2017-05-27T19:40:06.000-07:00
"{'shop': 'Willowbrook Shopping Centre', 'house_number': '19705', 'road': 'Fraser Highway', 'city': 'Township of Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3A 7E9', 'country': 'Canada', 'country_code': 'ca'}",charging_station,Township of Langley,49.1152402,-122.67540790000001,,{},2014-08-08T21:02:43.000-07:00
"{'amenity': 'Village Medical Clinic', 'road': 'Glover Road', 'suburb': 'Fort Langley', 'city_district': 'Fort Langley', 'city': 'Township of Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V1M 0E8', 'country': 'Canada', 'country_code': 'ca'}",clinic,Township of Langley,49.167627100000004,-122.58118459999999,Village Medical Clinic,"{'addr:street': 'Glover Road', 'addr:city': 'Township of Langley'}",2019-09-13T13:56:59.000-07:00
"{'building': 'Langley Gardens Seniors Home', 'road': '202 Street', 'suburb': 'Walnut Grove', 'city': 'Township of Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V1M 4A7', 'country': 'Canada', 'country_code': 'ca'}",clinic,Township of Langley,49.16526010000001,-122.6616216,Redwood Medical Clinic,"{'name:en': 'Redwood Medical Clinic', 'healthcare': 'clinic'}",2019-06-07T13:28:04.000-07:00
"{'building': 'Langley Gardens Seniors Home', 'road': '202 Street', 'suburb': 'Walnut Grove', 'city': 'Township of Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V1M 4A7', 'country': 'Canada', 'country_code': 'ca'}",clinic,Township of Langley,49.16526010000001,-122.6616216,Medical,"{'name:en': 'Medical', 'healthcare': 'clinic'}",2019-06-07T13:28:04.000-07:00
"{'amenity': 'Trinity Western House', 'road': 'Glover Road', 'suburb': 'Fort Langley', 'city_district': 'Fort Langley', 'city': 'Township of Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V1M 2S5', 'country': 'Canada', 'country_code': 'ca'}",community_centre,Township of Langley,49.1709575,-122.5769659,Trinity Western House,"{'website': 'http://twu.ca', 'name:en': 'Trinity Western House', 'addr:street': 'Glover Road'}",2016-11-01T01:10:48.000-07:00
"{'historic': 'Murrayville Hall', 'house_number': '21667', 'road': '48 Avenue', 'suburb': 'Murrayville', 'city_district': 'Murrayville', 'city': 'Township of Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3A 3M7', 'country': 'Canada', 'country_code': 'ca'}",community_centre,Township of Langley,49.0895451,-122.62309340000002,Murrayville Hall,"{'addr:housenumber': '21667', 'website': 'http://murrayvillehall.ca', 'addr:street': '48 Avenue', 'operator': 'Murrayville Community Memorial Hall Association', 'addr:city': 'Langley'}",2019-09-13T13:57:05.000-07:00
"{'building': ""Fort Langley Lions Senior's Hall"", 'road': '88 Avenue', 'suburb': 'Fort Langley', 'city_district': 'Fort Langley', 'city': 'Township of Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3A 4M8', 'country': 'Canada', 'country_code': 'ca'}",community_centre,Township of Langley,49.1624838,-122.58526,Fort Langley Lions Senior Hall,"{'addr:street': '88 Avenue', 'addr:city': 'Township of Langley'}",2019-09-13T13:56:59.000-07:00
"{'amenity': 'Aldergrove Kinsmen Community Centre', 'house_number': '26770', 'road': '29 Avenue', 'suburb': 'Aldergrove', 'city_district': 'Aldergrove', 'city': 'Township of Langley', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V4W 1A0', 'country': 'Canada', 'country_code': 'ca'}",community_centre,Township of Langley,49.05496760000001,-122.4828013,Aldergrove Kinsmen Community Centre,"{'addr:housenumber': '26770', 'addr:street': '29 Avenue'}",2017-02-19T20:18:39.000-08:00
"{'amenity': 'Marble Slab Creamery', 'house_number': '6339', 'road': '200 Street', 'city': 'Township of Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V2Y 1A2', 'country': 'Canada', 'country_code': 'ca'}",ice_cream,Township of Langley,49.117708,-122.67050149999999,Marble Slab Creamery,"{'brand:wikidata': 'Q17020087', 'addr:housenumber': '6339', 'brand:wikipedia': 'en:Marble Slab Creamery', 'cuisine': 'ice_cream', 'outdoor_seating': 'no', 'addr:street': '200 Street', 'addr:postcode': 'V2Y 1A2', 'brand': 'Marble Slab Creamery', 'addr:unit': '305', 'addr:city': 'Langley'}",2019-11-22T21:08:39.000-08:00
"{'amenity': 'Ritual', 'road': 'Glover Road', 'suburb': 'Fort Langley', 'city_district': 'Fort Langley', 'city': 'Township of Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V1M 2S5', 'country': 'Canada', 'country_code': 'ca'}",ice_cream,Township of Langley,49.1696893,-122.5787014,Ritual,{'addr:street': 'Glover Road'},2016-11-03T17:52:12.000-07:00
"{'building': 'Brookswood Mall', 'road': '200B Street', 'city_district': 'Brookswood-Fernridge', 'city': 'Township of Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3A 2Y5', 'country': 'Canada', 'country_code': 'ca'}",library,Township of Langley,49.07493710000001,-122.6684308,Brookswood Library,"{'addr:housenumber': '20045', 'website': 'https://fvrl.bibliocommons.com/locations/BW', 'internet_access': 'wlan', 'phone': '+1-604-534-7055', 'opening_hours': 'Mo-Tu 10:00-20:00; We-Sa 10:00-17:00; Su closed', 'name:en': 'Brookswood Library', 'addr:street': '40 Avenue', 'addr:postcode': 'V3A 2W2', 'operator': 'Fraser Valley Regional Library', 'addr:city': 'Langley'}",2019-09-02T22:08:25.000-07:00
"{'amenity': 'Walnut Grove Library', 'house_number': '8889', 'road': 'Walnut Grove Drive', 'suburb': 'Walnut Grove', 'city': 'Township of Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V1M 2C0', 'country': 'Canada', 'country_code': 'ca'}",library,Township of Langley,49.1633111,-122.6415706,Walnut Grove Library,"{'addr:housenumber': '8889', 'website': 'https://fvrl.bibliocommons.com/locations/WG', 'internet_access': 'wlan', 'phone': '+1-604-882-0410', 'opening_hours': 'Mo-Fr 10:00-21:00; Sa 10:00-17:00; Su 13:00-17:00', 'name:en': 'Walnut Grove Library', 'addr:street': 'Walnut Grove Drive'}",2017-07-30T06:07:46.000-07:00
"{'amenity': 'Fort Langley Library', 'house_number': '9167', 'road': 'Glover Road', 'suburb': 'Fort Langley', 'city_district': 'Fort Langley', 'city': 'Township of Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V1M 2R6', 'country': 'Canada', 'country_code': 'ca'}",library,Township of Langley,49.16908170000001,-122.58000109999999,Fort Langley Library,"{'operator:type': 'public', 'addr:housenumber': '9167', 'website': 'https://fvrl.bibliocommons.com/locations/FL', 'internet_access': 'wlan', 'phone': '+1-604-888-0722', 'opening_hours': 'Tu-We 13:00-20:00; Th-Sa 10:00-12:30; Th-Sa 13:00-17:00; Su-Mo off; PH off', 'addr:street': 'Glover Road', 'addr:postcode': 'V1M 2R6', 'operator': 'Fraser Valley Regional Library', 'addr:city': 'Langley'}",2019-11-12T00:56:51.000-08:00
"{'amenity': 'Muriel Arnason Library', 'house_number': '20338', 'road': '65 Avenue', 'city': 'Township of Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V2Y 1P0', 'country': 'Canada', 'country_code': 'ca'}",library,Township of Langley,49.12040089999999,-122.6596623,Muriel Arnason Library,"{'addr:housenumber': '20338', 'website': 'https://fvrl.bibliocommons.com/locations/WB', 'internet_access': 'wlan', 'phone': '+1-604-532-3590', 'opening_hours': 'Mo-Th 10:00-21:00; Fr-Sa 10:00-17:00; Su 13:00-17:00', 'name:en': 'Muriel Arnason Library', 'addr:street': '65 Avenue', 'operator': 'Fraser Valley Regional Library', 'addr:city': 'Langley'}",2019-09-13T13:57:00.000-07:00
"{'amenity': 'Murrayville Library', 'house_number': '22071', 'road': '48 Avenue', 'suburb': 'Murrayville', 'city_district': 'Murrayville', 'city': 'Township of Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3A 3Z7', 'country': 'Canada', 'country_code': 'ca'}",library,Township of Langley,49.089623700000004,-122.61167479999999,Murrayville Library,"{'addr:housenumber': '22071', 'website': 'https://fvrl.bibliocommons.com/locations/MV', 'internet_access': 'wlan', 'phone': '+1-604-533-0339', 'opening_hours': 'Mo-Th 10:00-21:00; Fr-Sa 10:00-17:00; Su 13:00-17:00', 'addr:street': '48 Avenue', 'operator': 'Fraser Valley Regional Library', 'addr:city': 'Langley'}",2019-09-13T13:56:58.000-07:00
"{'road': '40 Avenue', 'suburb': 'Brookswood', 'city_district': 'Brookswood-Fernridge', 'city': 'Township of Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3A 3B3', 'country': 'Canada', 'country_code': 'ca'}",place_of_worship,Township of Langley,49.0752034,-122.6420625,,{'religion': 'christian'},2018-02-20T22:27:35.000-08:00
"{'amenity': 'United Church', 'road': 'Fraser Highway', 'city_district': 'Aldergrove', 'city': 'Township of Langley', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V4W 3P8', 'country': 'Canada', 'country_code': 'ca'}",place_of_worship,Township of Langley,49.0575934,-122.466806,United Church,"{'denomination': 'united', 'religion': 'christian'}",2017-05-31T13:52:55.000-07:00
"{'building': 'AC Centre', 'house_number': '27309', 'road': 'Fraser Highway', 'city_district': 'Aldergrove', 'city': 'Township of Langley', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V4W 3P8', 'country': 'Canada', 'country_code': 'ca'}",place_of_worship,Township of Langley,49.0580204,-122.46756380000001,Aldergrove Vineyard Church,"{'website': 'http://aldergrovevineyard.com', 'service_times': 'Su 09:30+', 'addr:street': 'Fraser Highway', 'addr:postcode': 'V4W 2V1', 'religion': 'christian'}",2018-03-09T00:40:48.000-08:00
"{'amenity': 'SouthRidge Fellowship Church', 'house_number': '22756', 'road': '48 Avenue', 'suburb': 'Murrayville', 'city': 'Township of Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V2Z 2T6', 'country': 'Canada', 'country_code': 'ca'}",place_of_worship,Township of Langley,49.0884195,-122.59339569999999,SouthRidge Fellowship Church,"{'addr:housenumber': '22756', 'addr:street': '48 Avenue', 'addr:postcode': 'V2Z 2T6', 'addr:city': 'Langley'}",2019-09-13T13:57:05.000-07:00
"{'road': 'Fernridge Crescent', 'suburb': 'Fern Ridge', 'city_district': 'Brookswood-Fernridge', 'city': 'Township of Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'country': 'Canada', 'country_code': 'ca'}",place_of_worship,Township of Langley,49.0429517,-122.6660326,,{'religion': 'christian'},2017-04-10T03:29:28.000-07:00
"{'amenity': 'Sharon United Church', 'house_number': '21562', 'road': 'Old Yale Road', 'suburb': 'Murrayville', 'city_district': 'Murrayville', 'city': 'Township of Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3A 4M8', 'country': 'Canada', 'country_code': 'ca'}",place_of_worship,Township of Langley,49.0897414,-122.6257615,Sharon United Church,"{'addr:housenumber': '21562', 'addr:street': 'Old Yale Road', 'addr:postcode': 'V3A 4M8', 'denomination': 'united', 'addr:city': 'Langley', 'religion': 'christian'}",2019-09-13T13:57:00.000-07:00
"{'amenity': 'Christ the King Church', 'house_number': '22630', 'road': '48 Avenue', 'suburb': 'Murrayville', 'city': 'Township of Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V2Z 2T6', 'country': 'Canada', 'country_code': 'ca'}",place_of_worship,Township of Langley,49.0891294,-122.59719140000001,Christ the King Church,"{'addr:housenumber': '22630', 'description': 'Traditional Roman Catholic Latin Mass', 'addr:street': '48 Avenue', 'addr:postcode': 'V2Z 2T6', 'denomination': 'catholic', 'addr:city': 'Langley', 'religion': 'christian'}",2019-09-13T13:57:00.000-07:00
"{'amenity': 'White Spot', 'house_number': '20077', 'road': '91A Avenue', 'suburb': 'Walnut Grove', 'city': 'Township of Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V1M 3Y9', 'country': 'Canada', 'country_code': 'ca'}",place_of_worship,Township of Langley,49.1697163,-122.66713429999999,,{},2016-11-22T03:21:48.000-08:00
"{'amenity': ""St. George's Anglican Church"", 'road': 'Church Street', 'suburb': 'Fort Langley', 'city_district': 'Fort Langley', 'city': 'Township of Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V1M 1A0', 'country': 'Canada', 'country_code': 'ca'}",place_of_worship,Township of Langley,49.1688298,-122.5775199,St. George's Anglican Church,"{'addr:street': 'Church Street', 'denomination': 'anglican', 'addr:city': 'Township of Langley', 'religion': 'christian'}",2019-09-13T13:56:49.000-07:00
"{'amenity': 'Living Waters Church', 'house_number': '9095', 'road': 'Glover Road', 'suburb': 'Fort Langley', 'city_district': 'Fort Langley', 'city': 'Township of Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V1M 0E8', 'country': 'Canada', 'country_code': 'ca'}",place_of_worship,Township of Langley,49.1677709,-122.58099240000001,Living Waters Church,"{'building:levels': '1', 'addr:housenumber': '9095', 'addr:street': 'Glover Road', 'addr:city': 'Township of Langley', 'religion': 'christian'}",2019-09-13T13:56:58.000-07:00
"{'amenity': ""The King's Community Church"", 'house_number': '21783', 'road': '76B Avenue', 'city': 'Township of Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V2Y 2S9', 'country': 'Canada', 'country_code': 'ca'}",place_of_worship,Township of Langley,49.144360799999994,-122.6182525,The King's Community Church,"{'website': 'http://tkc.com/', 'denomination': 'protestant', 'religion': 'christian'}",2016-04-14T20:31:01.000-07:00
"{'amenity': 'Aldergrove Return-It Depot', 'house_number': '27482', 'road': 'Fraser Highway', 'city_district': 'Aldergrove', 'city': 'Township of Langley', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V4W 3N5', 'country': 'Canada', 'country_code': 'ca'}",recycling,Township of Langley,49.0574062,-122.4634398,Aldergrove Return-It Depot,"{'addr:housenumber': '27482', 'website': 'https://www.return-it.ca/locations/aldergrove-return-it/?', 'phone': '+1-604-856-2992', 'opening_hours': 'Mo-Sa 09:00-18:00; Su,PH 11:00-17:00', 'addr:street': 'Fraser Highway', 'brand': 'Return-It Depot'}",2019-09-02T22:08:26.000-07:00
"{'leisure': 'Walnut Grove School of Music & Dance', 'house_number': '8747', 'road': '204 Street', 'suburb': 'Walnut Grove', 'city': 'Township of Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V1M 2Y5', 'country': 'Canada', 'country_code': 'ca'}",school,Township of Langley,49.161745399999994,-122.6577169,Walnut Grove School of Music & Dance,"{'addr:housenumber': '8747', 'alt_name': 'Langley School of Music & Dance', 'website': 'https://www.musicanddance.org', 'phone': '+1-604-882-0422', 'level': '1', 'addr:street': '204 Street', 'addr:postcode': 'V1M 2Y5', 'leisure': 'dance', 'addr:unit': '202'}",2019-01-19T14:34:17.000-08:00
"{'amenity': 'Murrayville Academy & Early Learning Centre', 'road': 'Old Yale Road', 'suburb': 'Murrayville', 'city_district': 'Murrayville', 'city': 'Township of Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3A 4M9', 'country': 'Canada', 'country_code': 'ca'}",school,Township of Langley,49.090556400000004,-122.62774280000001,Murrayville Academy & Early Learning Centre,{},2019-06-23T17:02:14.000-07:00
