address,amenity,city,lat,lon,name,tags,timestamp
"{'shop': 'HomeSense', 'house_number': '493', 'road': 'Robson Street', 'neighbourhood': 'Downtown', 'city_district': 'Downtown', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6B 0H3', 'country': 'Canada', 'country_code': 'ca'}",atm,Vancouver,49.2801415,-123.11747820000001,,"{'description': 'This ATM is placed inside the IGA shop.', 'operator': 'RBC'}",2019-01-01T23:45:06.000-08:00
"{'amenity': 'Bitcoin ATM - Waves Coffee', 'road': 'Smithe Street', 'neighbourhood': 'Yaletown', 'city_district': 'Downtown', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6Z', 'country': 'Canada', 'country_code': 'ca'}",atm,Vancouver,49.280759,-123.12242979999999,Bitcoin ATM - Waves Coffee,"{'website': 'http://bitcoiniacs.com/', 'payment:bitcoin': 'yes', 'currency:CAD': 'yes', 'currency:others': 'no', 'currency:XBT': 'yes', 'operator': 'Bitcoiniacs', 'payment:coinkite': 'yes'}",2014-04-01T23:59:23.000-07:00
"{'building': 'Regency Park', 'house_number': '1225', 'road': 'Cardero Street', 'neighbourhood': 'West End', 'city_district': 'West End', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6G', 'country': 'Canada', 'country_code': 'ca'}",atm,Vancouver,49.28516870000001,-123.13890990000002,,{'operator': 'TD Canada Trust'},2015-10-03T04:19:05.000-07:00
"{'house_number': '3396', 'road': 'West Broadway', 'city_district': 'Kitsilano', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'country': 'Canada', 'country_code': 'ca'}",atm,Vancouver,49.2640112,-123.17949070000002,,{'source': 'survey'},2013-06-05T21:04:30.000-07:00
"{'house_number': '1093', 'road': 'West Broadway', 'neighbourhood': 'Fairview', 'city_district': 'Fairview', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6H', 'country': 'Canada', 'country_code': 'ca'}",atm,Vancouver,49.2636121,-123.12886509999998,,{'operator': 'Bitcoin BitNational'},2017-12-11T03:58:44.000-08:00
"{'amenity': 'Vancity Centre', 'house_number': '183', 'road': 'Terminal Avenue', 'city_district': 'Strathcona', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6A', 'country': 'Canada', 'country_code': 'ca'}",atm,Vancouver,49.2731669,-123.10141509999998,,"{'opening_hours': '24/7', 'operator': 'VanCity'}",2016-08-07T03:48:45.000-07:00
"{'shop': 'Safeway', 'road': 'West 3rd Avenue', 'neighbourhood': 'Kitsilano', 'city_district': 'Kitsilano', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6K', 'country': 'Canada', 'country_code': 'ca'}",atm,Vancouver,49.2686089,-123.1584322,,"{'brand:wikidata': 'Q806693', 'official_name': 'Bank of Montreal', 'brand:wikipedia': 'en:Bank of Montreal', 'drive_through': 'no', 'indoor': 'yes', 'brand': 'BMO', 'operator': 'BMO'}",2019-10-14T07:53:51.000-07:00
"{'house_number': '609', 'road': 'Stamps Landing', 'neighbourhood': 'Fairview', 'city_district': 'Fairview', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5Z 3Z3', 'country': 'Canada', 'country_code': 'ca'}",atm,Vancouver,49.2686943,-123.1186393,,{'drive_through': 'no'},2017-07-05T03:11:31.000-07:00
"{'man_made': 'Granville Bridge', 'road': 'Creekside Drive', 'city_district': 'Fairview', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6J', 'country': 'Canada', 'country_code': 'ca'}",atm,Vancouver,49.270201,-123.136248,,"{'wheelchair': 'yes', 'operator': 'CIBC'}",2011-01-11T00:55:57.000-08:00
"{'building': 'Scotia Tower', 'house_number': '753', 'road': 'Seymour Street', 'neighbourhood': 'Downtown', 'city_district': 'Downtown', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6B 5J3', 'country': 'Canada', 'country_code': 'ca'}",atm,Vancouver,49.2822278,-123.1180737,,{'operator': 'Scotiabank'},2017-10-26T18:30:37.000-07:00
"{'amenity': 'Boston Pizza', 'road': 'Beatty Street', 'neighbourhood': 'Yaletown', 'city_district': 'Downtown', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6B 2M6', 'country': 'Canada', 'country_code': 'ca'}",atm,Vancouver,49.2773027,-123.1141442,,"{'drive_through': 'no', 'currency:CAD': 'yes'}",2019-10-01T18:35:47.000-07:00
"{'building': 'Welcome House', 'house_number': '2610', 'road': 'Victoria Drive', 'city_district': 'Kensington-Cedar Cottage', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5N 4L3', 'country': 'Canada', 'country_code': 'ca'}",atm,Vancouver,49.2612076,-123.0656518,,{'operator': 'Vancity'},2018-06-24T03:18:37.000-07:00
"{'house_number': '610', 'road': 'Granville Street', 'neighbourhood': 'Downtown', 'city_district': 'Downtown', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6C 1X6', 'country': 'Canada', 'country_code': 'ca'}",atm,Vancouver,49.2830334,-123.1167166,,"{'drive_through': 'no', 'operator': 'RBC'}",2019-12-12T02:26:02.000-08:00
"{'house_number': '670', 'road': 'Smithe Street', 'neighbourhood': 'Yaletown', 'city_district': 'Downtown', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6Z', 'country': 'Canada', 'country_code': 'ca'}",atm,Vancouver,49.2801601,-123.1214063,,"{'drive_through': 'no', 'operator': 'DC Bank'}",2019-08-02T02:07:43.000-07:00
"{'amenity': 'Meatball Kitchen', 'road': 'Cambie Street', 'neighbourhood': 'Gastown', 'city_district': 'Downtown', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6B 2N3', 'country': 'Canada', 'country_code': 'ca'}",atm,Vancouver,49.28304910000001,-123.10918600000001,,{},2018-02-02T22:30:31.000-08:00
"{'shop': 'Robson Public Market', 'house_number': '1610', 'road': 'Robson Street', 'neighbourhood': 'West End', 'city_district': 'West End', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6G', 'country': 'Canada', 'country_code': 'ca'}",atm,Vancouver,49.2895433,-123.1326652,,{'operator': 'Vancity'},2017-10-15T01:18:22.000-07:00
"{'amenity': 'CIBC', 'house_number': '1933', 'road': 'East 41st Avenue', 'city_district': 'Kensington-Cedar Cottage', 'city': 'Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5P', 'country': 'Canada', 'country_code': 'ca'}",atm,Vancouver,49.233102,-123.06616899999999,CIBC,{},2010-07-18T06:13:52.000-07:00
"{'shop': '7-Eleven', 'road': 'Kingsway', 'city_district': 'Killarney', 'city': 'Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5R', 'country': 'Canada', 'country_code': 'ca'}",atm,Vancouver,49.2335784,-123.03567779999999,,{'operator': 'Scotiabank'},2019-02-03T01:01:17.000-08:00
