address,amenity,city,lat,lon,name,tags,timestamp
"{'amenity': ""Pudgie's Pizza & Pasta"", 'road': 'Royal Avenue', 'suburb': 'Horseshoe Bay', 'city': 'West Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7W 2B0', 'country': 'Canada', 'country_code': 'ca'}",atm,West Vancouver,49.37389570000001,-123.274529,,{'operator': 'CIBC'},2018-07-20T02:42:09.000-07:00
"{'amenity': 'RBC', 'road': 'Marine Drive', 'suburb': 'Dundarave', 'city': 'West Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7V 1L3', 'country': 'Canada', 'country_code': 'ca'}",atm,West Vancouver,49.334376,-123.17946940000002,,{'operator': 'Royal Bank ATM'},2011-08-27T03:51:52.000-07:00
"{'building': 'Caulfield Village Shopping Center', 'road': 'Timberfeild Lane', 'suburb': 'Cypress Park', 'city': 'West Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7W 3C0', 'country': 'Canada', 'country_code': 'ca'}",atm,West Vancouver,49.3502843,-123.2540592,,{'fee': 'BMO ATM'},2011-08-26T22:02:03.000-07:00
"{'amenity': 'Tcby', 'house_number': '1503', 'road': 'Bellevue Avenue', 'suburb': 'Ambleside', 'city': 'West Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7T 1C0', 'country': 'Canada', 'country_code': 'ca'}",ice_cream,West Vancouver,49.3275206,-123.1569596,Tcby,"{'cuisine': 'ice_cream', 'addr:housenumber': '1503', 'addr:street': 'Bellevue Avenue', 'addr:city': 'West Vancouver'}",2019-09-13T13:56:49.000-07:00
"{'amenity': 'Baskin-Robbins', 'house_number': '6336', 'road': 'Bay Street', 'suburb': 'Horseshoe Bay', 'city': 'West Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7W 3H5', 'country': 'Canada', 'country_code': 'ca'}",ice_cream,West Vancouver,49.374243,-123.27318799999999,Baskin-Robbins,"{'brand:wikidata': 'Q584601', 'addr:housenumber': '6336', 'brand:wikipedia': 'en:Baskin-Robbins', 'cuisine': 'ice_cream', 'addr:street': 'Bay Street', 'brand': 'Baskin-Robbins'}",2020-03-22T15:02:58.000-07:00
"{'amenity': 'Saint Francis in the Woods', 'road': 'Piccadilly South', 'suburb': 'Caulfeild', 'city': 'West Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7W 3H2', 'country': 'Canada', 'country_code': 'ca'}",place_of_worship,West Vancouver,49.3393185,-123.2551803,Saint Francis in the Woods,{},2011-08-26T23:38:14.000-07:00
"{'amenity': ""Kingdom Hall of Jehova's Witnesses"", 'road': '3rd Street', 'suburb': 'Cedardale', 'city': 'West Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7R 4H2', 'country': 'Canada', 'country_code': 'ca'}",place_of_worship,West Vancouver,49.3362027,-123.12453980000001,Kingdom Hall of Jehova's Witnesses,{'religion': 'christian'},2017-04-09T20:56:27.000-07:00
"{'amenity': ""St. Monica's Anglican Church"", 'house_number': '6404', 'road': 'Wellington Avenue', 'suburb': 'Gleneagles', 'city': 'West Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7W 2G6', 'country': 'Canada', 'country_code': 'ca'}",place_of_worship,West Vancouver,49.3708976,-123.28044779999999,St. Monica's Anglican Church,"{'addr:housenumber': '6404', 'addr:street': 'Wellington Avenue', 'denomination': 'anglican', 'religion': 'christian'}",2015-05-03T00:42:25.000-07:00
"{'amenity': 'doug tree', 'road': 'Westhill Drive', 'suburb': 'Hollyburn', 'city': 'West Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7V 2R2', 'country': 'Canada', 'country_code': 'ca'}",place_of_worship,West Vancouver,49.3467408,-123.1626763,doug tree,"{'denomination': 'baptist', 'religion': 'jewish'}",2018-03-12T01:03:53.000-07:00
"{'amenity': 'Pauline Johnson Elementary School', 'road': 'Jefferson Avenue', 'suburb': 'Hollyburn', 'city': 'West Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7V 4B9', 'country': 'Canada', 'country_code': 'ca'}",school,West Vancouver,49.3347474,-123.16991809999999,Pauline Johnson Elementary School,{},2016-02-26T08:40:43.000-08:00
