amenity,lat,lon,name,tags,timestamp,address,city
drinking_water,49.29012,-123.13629,,"{'wetap:status': 'working', 'description': 'West End Community Center indoor drinking fountain on main floor near stairs', 'source': 'wetap.org'}",2013-06-18T22:36:10.000-07:00,"{'building': 'West End Community Centre', 'house_number': '870', 'road': 'Denman Street', 'neighbourhood': 'West End', 'city_district': 'West End', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6G', 'country': 'Canada', 'country_code': 'ca'}",Vancouver
drinking_water,49.031918,-122.0110518,,{},2010-05-20T01:31:08.000-07:00,"{'tourism': 'Maple Bay Campground', 'road': 'Spring Creek Drive', 'city': 'Area H (Cultus Lake/Columbia Valley)', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'country': 'Canada', 'country_code': 'ca'}",Area H (Cultus Lake/Columbia Valley)
drinking_water,49.033105,-122.0025598,,{},2010-05-20T01:31:06.000-07:00,"{'road': 'Columbia Valley Road', 'city': 'Area H (Cultus Lake/Columbia Valley)', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'postcode': 'V2R 5A3', 'country': 'Canada', 'country_code': 'ca'}",Area H (Cultus Lake/Columbia Valley)
drinking_water,49.0323635,-122.0088309,,{},2010-05-20T01:31:05.000-07:00,"{'tourism': 'Maple Bay Campground', 'road': 'Spring Creek Drive', 'city': 'Area H (Cultus Lake/Columbia Valley)', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'country': 'Canada', 'country_code': 'ca'}",Area H (Cultus Lake/Columbia Valley)
drinking_water,49.3031298,-123.1563459,,"{'wetap:status': 'working', 'description': 'turned off during winter', 'source': 'wetap.org'}",2015-08-24T12:32:07.000-07:00,"{'amenity': 'Stanley Park - Third Beach Parking Lot', 'road': 'Stanley Park Seawall Bike Path', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6G', 'country': 'Canada', 'country_code': 'ca'}",Vancouver
drinking_water,49.299655,-123.1261483,,"{'wetap:status': 'working', 'description': 'outdoor drinking fountain, turned off during winter; bathroom open year round nearby', 'source': 'wetap.org'}",2015-08-24T12:34:10.000-07:00,"{'building': 'Brockton Fieldhouse', 'road': 'Avison Way', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6G', 'country': 'Canada', 'country_code': 'ca'}",Vancouver
drinking_water,49.2955343,-123.1520033,,"{'wetap:status': 'unknown', 'source': 'survey'}",2017-07-07T19:49:51.000-07:00,"{'leisure': 'Second Beach Pool', 'road': 'Stanley Park Seawall', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6G', 'country': 'Canada', 'country_code': 'ca'}",Vancouver
drinking_water,49.2948848,-123.1500284,,"{'wetap:status': 'working', 'description': 'outdoor drinking fountain, turned on year round, washrooms nearby', 'source': 'wetap.org'}",2015-08-04T09:07:05.000-07:00,"{'amenity': 'Stanley Park - Second Beach North', 'road': 'Stanley Park Seawall', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6G', 'country': 'Canada', 'country_code': 'ca'}",Vancouver
drinking_water,49.25393,-123.0620011,,"{'wetap:status': 'working', 'description': 'Trout lake SW of beach', 'source': 'wetap.org', 'wetap:photo': 'http://mdcwetap.atwebpages.com/jpg.php?i=Ernchesto1337037812774.jpg'}",2015-02-21T07:00:38.000-08:00,"{'road': 'East 19th Avenue', 'city_district': 'Kensington-Cedar Cottage', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5N 4M4', 'country': 'Canada', 'country_code': 'ca'}",Vancouver
drinking_water,49.28591,-123.14297,,"{'wetap:status': 'working', 'description': 'outdoor drinking fountain, turned on year round', 'source': 'wetap.org'}",2013-06-18T22:36:10.000-07:00,"{'road': 'Seaside - English Bay', 'neighbourhood': 'Davie Village', 'city_district': 'West End', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6G', 'country': 'Canada', 'country_code': 'ca'}",Vancouver
drinking_water,49.2620899,-123.0656793,,"{'wetap:status': 'working', 'description': 'Broadway & Victoria', 'source': 'wetap.org', 'wetap:photo': 'http://mdcwetap.atwebpages.com/jpg.php?i=Ernchesto1340569834779.jpg'}",2015-01-22T07:11:41.000-08:00,"{'road': 'Central Valley Greenway', 'city_district': 'Kensington-Cedar Cottage', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5N 4L1', 'country': 'Canada', 'country_code': 'ca'}",Vancouver
drinking_water,49.0333735,-122.00543190000002,,{},2010-05-20T01:31:10.000-07:00,"{'tourism': 'Maple Bay Campground', 'road': 'Spring Creek Drive', 'city': 'Area H (Cultus Lake/Columbia Valley)', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'country': 'Canada', 'country_code': 'ca'}",Area H (Cultus Lake/Columbia Valley)
drinking_water,49.26634,-123.141388,,{},2019-05-07T03:04:20.000-07:00,"{'house_number': '1618', 'road': 'West 6th Avenue', 'neighbourhood': 'South Granville', 'city_district': 'Fairview', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6J', 'country': 'Canada', 'country_code': 'ca'}",Vancouver
