amenity,lat,lon,name,tags,timestamp
veterinary,49.1192114,-122.6710399,Apex,{'phone': '+1-604-514-1444'},2020-06-28T18:09:16.000-07:00
veterinary,49.268066999999995,-123.14064099999999,Cats Only Veterinary Clinic,"{'wheelchair': 'yes', 'phone': '+1-604-734-2287'}",2018-02-10T16:17:28.000-08:00
veterinary,49.1186156,-122.663909,Willowbrook Animal Hospital,"{'opening_hours': 'Mo-Sa 08:00-24:00, Su 09:00-24:00', 'phone': '604-532-1889'}",2019-12-03T06:43:44.000-08:00
veterinary,49.26417,-123.21008940000002,,{},2011-01-15T03:04:12.000-08:00
veterinary,49.131686,-122.8899393,Scottsdale Veterinary Hospital,"{'addr:housenumber': '7072', 'surrey:addrid': '54900', 'addr:street': '120 Street', 'source': 'City of Surrey 2010 GIS Data', 'surrey:date': '19850801', 'addr:city': 'Surrey'}",2017-07-30T02:14:59.000-07:00
veterinary,49.1532057,-122.89089240000001,North Delta Animal Hospital,{},2019-09-28T08:28:09.000-07:00
veterinary,49.268448600000006,-123.165675,Kitsilano Animal Clinic,"{'addr:housenumber': '2645', 'website': 'https://kitsilanoanimalclinic.ca', 'phone': '+1-604-736-8648', 'opening_hours': 'Mo-Fr 09:00-18:00; Sa 09:00-17:00', 'addr:street': 'West 4th Avenue', 'addr:postcode': 'V6K 1P8', 'addr:city': 'Vancouver'}",2019-09-13T13:57:05.000-07:00
veterinary,49.010839700000005,-122.62574380000001,Critter Care Wildlife Society,{'note': 'Wildlife rehabilitation center for native mammals.'},2015-04-30T01:16:50.000-07:00
veterinary,49.2097727,-122.91663940000001,Alpine Animal Hospital,"{'phone': '+1-604-525-3400', 'source': 'gps/photo survey'}",2018-10-26T20:29:57.000-07:00
veterinary,49.2681203,-123.14155190000001,Granville Island Veterinary Hospital,{},2020-01-26T03:53:08.000-08:00
veterinary,49.045263299999995,-122.29306299999999,Abbotsford Valley Animal Emergency Clinic,"{'opening_hours': 'Mo-Sa 18:00-08:00', 'website': 'http://abbotsfordanimalemergency.com', 'phone': '+1-604-850-0911', 'addr:unit': 'C'}",2018-06-20T15:10:29.000-07:00
veterinary,49.3168299,-122.97117069999999,Park Gate Animal & Bird Hospita,{},2020-02-09T18:39:57.000-08:00
veterinary,49.0899791,-123.08440590000001,48th Avenue Animal Hospital,{},2019-08-20T16:53:20.000-07:00
veterinary,49.0304367,-123.06824669999999,Huff Animal Hospital,{},2019-08-18T10:15:50.000-07:00
veterinary,49.1206325,-122.8918799,,{},2019-08-18T05:55:49.000-07:00
veterinary,49.026114,-122.26611909999998,PetSmart,"{'opening_hours': '08:00-22:00', 'website': 'http://stores.petsmart.com/484', 'ref': '484', 'shop': 'pet', 'phone': '+1-604-854-8132'}",2018-02-09T04:59:38.000-08:00
veterinary,49.0901086,-122.60459490000001,Paws & Claws Animal Hospita,{'addr:unit': 'B'},2019-07-12T07:49:23.000-07:00
veterinary,49.247814899999995,-123.07007240000002,Sunshine Plaza Animal Hospital,"{'addr:housenumber': '1691', 'addr:street': 'Kingsway', 'entrance': 'yes'}",2019-10-07T05:30:47.000-07:00
veterinary,49.2813711,-123.01663020000001,Hastings Veterinary Hospital,"{'addr:housenumber': '3995', 'addr:street': 'Hastings Street', 'addr:city': 'Burnaby'}",2020-06-11T20:37:55.000-07:00
veterinary,49.28115570000001,-123.00475359999999,North Burnaby Pet Hospital,"{'addr:housenumber': '4431', 'addr:street': 'Hastings Street', 'addr:city': 'Burnaby'}",2020-06-11T20:37:55.000-07:00
veterinary,49.3273905,-123.07305149999999,Lonsdale Veterinary Hospital,{},2012-12-31T01:09:29.000-08:00
veterinary,49.2135417,-122.9386195,Burnaby New Westminster Animal Hospital,{},2013-11-26T17:29:34.000-08:00
veterinary,49.2625266,-122.8380189,Como Lake Veterinary Hospital,"{'addr:housenumber': '1950', 'website': 'http://comolakevet.com/', 'phone': '+1-604-931-7760', 'opening_hours': 'Mo-Fr 08:00-18:00; We 08:00-20:00; Sa 09:00-16:00; Su off', 'addr:street': 'Como Lake Avenue', 'addr:postcode': 'V3J 3R3', 'addr:city': 'Coquitlam'}",2018-02-09T04:59:32.000-08:00
veterinary,49.2200507,-122.9287177,Central City Animal Hospital,"{'addr:housenumber': '7834', 'addr:street': '6th Street', 'phone': '+1-604-522-3344', 'addr:city': 'Burnaby'}",2018-10-26T20:29:59.000-07:00
veterinary,49.2493435,-122.8679916,Coquitlam Animal Hospital,"{'addr:province': 'B.C.', 'addr:housenumber': '1001', 'addr:street': 'Austin Avenue', 'addr:postcode': 'V3K 3N9', 'addr:unit': '105', 'addr:city': 'Coquitlam'}",2020-04-06T04:53:43.000-07:00
veterinary,49.1836995,-123.1259624,Dr.Jean Hsu,"{'addr:province': 'BC', 'addr:housenumber': '8888', 'phone': '778-926-2353', 'addr:street': 'Odlin Crescent', 'addr:postcode': 'V6X3Z8', 'addr:unit': '1160', 'operator': 'Certified Veterinary Acupuncturist', 'email': 'drwchsu@gmail.com', 'addr:city': 'Richmond'}",2020-04-03T19:34:38.000-07:00
veterinary,49.0445643,-122.22173319999999,Alpha Animal Hospital,"{'opening_hours': 'Mo-Fr 08:00-20:00; Sa 09:00-16:00; Su off', 'website': 'http://www.abbyeastvet.com', 'phone': '+1-604-859-6322', 'addr:unit': '125', 'operator': 'Dr. Vishesh Jalan'}",2019-09-02T22:08:25.000-07:00
veterinary,49.0954958,-123.07715300000001,Trenant Park Pet Clinic,"{'addr:housenumber': '5080', 'website': 'http://trenantparkpetclinic.com', 'addr:street': 'Linden Drive'}",2019-07-17T06:02:31.000-07:00
veterinary,49.1333789,-122.3205212,Eagle Hill Animal Hospital,"{'website': 'https://www.eaglehillvet.ca', 'addr:unit': '4'}",2019-05-20T01:23:09.000-07:00
veterinary,49.2580827,-123.16892479999998,Arbutus West Animal Clinic,{},2010-08-27T23:14:24.000-07:00
veterinary,49.115919700000006,-122.68288170000001,Avon Animal Hospital,{},2019-10-12T06:42:33.000-07:00
veterinary,49.2486436,-123.07218789999999,Vancouver Veterinarian,"{'addr:housenumber': '1541', 'website': 'https://vancouverveterinary.com/', 'name:en': 'Vancouver Veterinary hospital', 'addr:street': 'Kingsway'}",2019-07-23T12:12:29.000-07:00
veterinary,49.325185100000006,-123.13423279999999,West Vancouver Veterinary Hospital,{'level': '0'},2020-06-21T02:52:38.000-07:00
