amenity,lat,lon,name,tags,timestamp
parking,49.28927879999999,-123.0561298,,"{'parking': 'underground', 'layer': '-1'}",2019-10-30T18:44:06.000-07:00
parking,49.2153544,-122.73206,,{},2011-04-13T00:13:28.000-07:00
parking,49.2909231,-123.04357720000002,,"{'parking': 'underground', 'access': 'private', 'layer': '-1'}",2019-12-19T17:53:31.000-08:00
parking,49.2356229,-122.853328,,{'parking': 'underground'},2012-09-12T04:29:17.000-07:00
parking,49.2465675,-122.9349509,,{},2010-09-02T05:59:13.000-07:00
parking,49.3297001,-123.0441963,,{},2014-01-01T23:34:27.000-08:00
parking,49.3382337,-122.9412663,,{},2015-03-18T00:41:12.000-07:00
parking,49.3272562,-123.15763090000002,,{'fee': 'no'},2015-03-15T16:46:31.000-07:00
parking,49.2764426,-122.7901384,,{},2013-03-26T23:45:50.000-07:00
parking,49.1006425,-122.66564640000001,,"{'parking': 'underground', 'supervised': 'no', 'park_ride': 'no', 'access': 'private', 'fee': 'no', 'layer': '-1'}",2020-03-23T04:55:01.000-07:00
parking,49.1018474,-122.6634237,,"{'parking': 'underground', 'supervised': 'no', 'park_ride': 'no', 'access': 'private', 'fee': 'no', 'layer': '-1'}",2020-03-23T04:55:01.000-07:00
parking,49.267625200000005,-122.9435125,,{},2010-07-12T03:38:45.000-07:00
parking,49.2337686,-123.14016969999999,,{},2010-07-10T16:45:31.000-07:00
parking,49.3358865,-123.0096884,,{},2011-07-31T02:10:11.000-07:00
parking,49.2041162,-122.6895074,,{},2011-04-13T00:13:31.000-07:00
parking,49.2409114,-122.7339126,,{},2011-04-13T00:13:29.000-07:00
parking,49.3314085,-122.9998442,,{},2016-02-16T03:21:24.000-08:00
parking,49.2901656,-123.0561148,,"{'parking': 'underground', 'layer': '-1'}",2020-01-03T00:31:01.000-08:00
parking,49.28359879999999,-122.8242116,,"{'parking': 'underground', 'layer': '-1'}",2019-08-18T03:23:07.000-07:00
parking,49.3201769,-123.05948049999999,,{},2014-02-24T02:49:18.000-08:00
parking,49.1682216,-122.5819489,,{},2019-10-27T21:53:13.000-07:00
parking,49.228916399999996,-122.33765249999999,,{'surface': 'gravel'},2016-04-19T04:55:02.000-07:00
parking,49.2819287,-123.11528059999999,Parkwell (Richards entrance),"{'access': 'yes', 'fee': 'yes'}",2019-12-09T03:37:48.000-08:00
parking,49.282865,-122.82739709999998,,"{'parking': 'underground', 'layer': '-1'}",2019-08-18T07:26:37.000-07:00
parking,49.281747700000004,-122.8271233,,"{'parking': 'underground', 'layer': '-1'}",2019-08-18T07:17:07.000-07:00
parking,49.2837095,-122.8251923,,"{'parking': 'underground', 'layer': '-1'}",2019-08-18T00:16:59.000-07:00
parking,49.167679799999995,-123.1393923,,{'parking': 'multi-storey'},2016-11-13T05:14:58.000-08:00
parking,49.192695799999996,-122.40640690000001,,"{'parking': 'surface', 'surface': 'asphalt', 'capacity': '5'}",2019-05-26T03:14:21.000-07:00
parking,49.264353,-123.135304,,"{'parking': 'underground', 'addr:housenumber': '1367', 'addr:street': 'West Broadway', 'operator': 'ImPark', 'layer': '-1', 'addr:city': 'Vancouver'}",2020-05-17T18:00:45.000-07:00
parking,49.31259620000001,-123.03473229999999,,{},2011-05-02T00:41:26.000-07:00
parking,49.2818099,-122.82714109999999,,"{'parking': 'underground', 'layer': '-1'}",2019-08-18T07:26:37.000-07:00
parking,49.283351399999994,-122.8252892,,"{'parking': 'underground', 'access': 'customers', 'layer': '-1'}",2019-08-18T06:58:51.000-07:00
parking,49.28298770000001,-122.82712,,"{'parking': 'underground', 'access': 'private', 'layer': '-1'}",2019-08-21T19:02:31.000-07:00
parking,49.2827799,-122.8251225,,"{'parking': 'underground', 'layer': '-1'}",2019-08-20T23:15:21.000-07:00
parking,49.3405727,-123.057475,,"{'parking': 'surface', 'supervised': 'no', 'park_ride': 'no', 'fee': 'no'}",2014-11-01T15:33:47.000-07:00
parking,49.3311424,-123.0376058,,{'access': 'unknown'},2010-11-08T00:20:19.000-08:00
parking,49.3418671,-123.04414950000002,,{},2014-12-20T08:09:40.000-08:00
parking,49.3438344,-123.2035913,,{},2011-05-12T13:39:57.000-07:00
parking,49.2822989,-123.11632350000001,Parkwell (Seymour entrance),{'access': 'yes'},2019-12-13T06:51:41.000-08:00
parking,49.34405,-122.97148030000001,,{},2010-05-10T21:49:27.000-07:00
parking,49.155843700000005,-122.7797982,,{'parking': 'surface'},2019-11-09T18:08:29.000-08:00
parking,49.2243334,-122.68043459999998,,{},2011-04-23T00:29:19.000-07:00
parking,49.009068400000004,-122.667978,Car - Truck - Horse Trailer Parking,"{'parking': 'surface', 'operator': 'High Point Estates', 'capacity': '20'}",2014-01-30T05:55:57.000-08:00
parking,49.0231966,-122.8010156,,"{'parking': 'underground', 'access': 'private', 'layer': '-1'}",2019-11-29T18:53:44.000-08:00
parking,49.198846,-123.01641049999999,,{},2018-03-24T04:29:59.000-07:00
parking,49.1881294,-122.80273659999999,,{'parking': 'underground'},2016-11-05T23:05:39.000-07:00
parking,49.344893,-122.97151550000001,,{},2016-03-01T18:16:47.000-08:00
parking,49.24483370000001,-123.153577,,{},2016-06-06T23:44:27.000-07:00
parking,49.2852667,-123.117461,,"{'addr:housenumber': '550', 'access': 'yes', 'addr:street': 'Hornby Street', 'fee': 'yes'}",2019-12-10T04:24:55.000-08:00
parking,49.3380391,-122.94705359999999,,"{'parking': 'surface', 'surface': 'unpaved'}",2019-12-22T15:10:38.000-08:00
parking,49.0522479,-122.23104790000001,Visitor Parking,"{'parking': 'surface', 'capacity': '5'}",2010-07-20T05:05:09.000-07:00
parking,49.2881589,-123.1210331,,"{'layer': '-1', 'source': 'survey'}",2013-06-02T06:13:07.000-07:00
parking,49.179462,-123.1373696,,{'parking': 'underground'},2016-11-05T22:48:57.000-07:00
parking,49.1798099,-123.1382878,,{'parking': 'underground'},2016-12-08T23:51:31.000-08:00
parking,49.332018299999994,-123.04892040000001,,{},2011-06-13T19:44:42.000-07:00
parking,49.2465374,-123.00276059999999,Residence Parking,{},2017-08-23T22:17:22.000-07:00
parking,49.1886428,-122.83658829999999,,{'parking': 'surface'},2019-11-09T17:59:14.000-08:00
parking,49.1555625,-122.77777920000001,,{'parking': 'surface'},2019-11-09T17:49:41.000-08:00
parking,49.3506677,-123.25363279999999,Caulfeild Village,{},2018-03-20T23:37:10.000-07:00
parking,49.317710399999996,-123.11408290000001,,{},2010-09-11T05:52:16.000-07:00
parking,49.0464992,-122.7958223,,"{'parking': 'underground', 'layer': '-1'}",2020-05-17T23:17:36.000-07:00
parking,49.2263419,-122.8907169,,"{'parking': 'underground', 'fee': 'yes'}",2012-03-08T04:45:35.000-08:00
parking,49.1063489,-122.73948429999999,,"{'parking': 'underground', 'layer': '-1'}",2019-07-21T00:40:07.000-07:00
parking,49.27711779999999,-122.8315331,,"{'parking': 'underground', 'layer': '-1'}",2019-09-01T21:05:06.000-07:00
parking,49.323778600000004,-122.8853618,White Pine Beach Parking,{},2010-07-15T03:47:29.000-07:00
