amenity,lat,lon,name,tags,timestamp
atm,49.2801415,-123.11747820000001,,"{'description': 'This ATM is placed inside the IGA shop.', 'operator': 'RBC'}",2019-01-01T23:45:06.000-08:00
atm,49.197176,-123.1399541,,{},2017-04-27T06:50:33.000-07:00
atm,49.280759,-123.12242979999999,Bitcoin ATM - Waves Coffee,"{'website': 'http://bitcoiniacs.com/', 'payment:bitcoin': 'yes', 'currency:CAD': 'yes', 'currency:others': 'no', 'currency:XBT': 'yes', 'operator': 'Bitcoiniacs', 'payment:coinkite': 'yes'}",2014-04-01T23:59:23.000-07:00
atm,49.28516870000001,-123.13890990000002,,{'operator': 'TD Canada Trust'},2015-10-03T04:19:05.000-07:00
atm,49.0503825,-122.31060049999999,,"{'drive_through': 'yes', 'operator': 'CIBC'}",2018-07-25T21:02:46.000-07:00
atm,49.0082934,-123.1300094,,"{'indoor': 'yes', 'brand': 'DC Bank'}",2019-02-04T00:35:48.000-08:00
atm,49.02336210000001,-122.81289890000001,,{},2020-01-02T18:36:24.000-08:00
atm,49.021426899999994,-122.80573559999999,,{},2020-01-03T05:20:18.000-08:00
atm,49.2640112,-123.17949070000002,,{'source': 'survey'},2013-06-05T21:04:30.000-07:00
atm,49.2636121,-123.12886509999998,,{'operator': 'Bitcoin BitNational'},2017-12-11T03:58:44.000-08:00
atm,49.373895700000006,-123.274529,,{'operator': 'CIBC'},2018-07-20T02:42:09.000-07:00
atm,49.2550011,-123.2359418,,"{'entrance': 'yes', 'operator': 'RBC Royal Bank'}",2015-10-17T16:28:18.000-07:00
atm,49.334376,-123.17946940000002,,{'operator': 'Royal Bank ATM'},2011-08-27T03:51:52.000-07:00
atm,49.3502843,-123.2540592,,{'fee': 'BMO ATM'},2011-08-26T22:02:03.000-07:00
atm,49.0748799,-122.6679644,,{},2013-02-03T23:55:06.000-08:00
atm,49.1986615,-122.8511222,,"{'payment:bitcoin': 'yes', 'currency:CAD': 'yes', 'drive_through': 'no', 'currency:XBT': 'yes'}",2019-01-04T14:33:33.000-08:00
atm,49.2659234,-123.2539455,,{'operator': 'TD Canada Trust'},2011-04-06T23:58:43.000-07:00
atm,49.2731669,-123.10141509999998,,"{'opening_hours': '24/7', 'operator': 'VanCity'}",2016-08-07T03:48:45.000-07:00
atm,49.2686089,-123.1584322,,"{'brand:wikidata': 'Q806693', 'official_name': 'Bank of Montreal', 'brand:wikipedia': 'en:Bank of Montreal', 'drive_through': 'no', 'indoor': 'yes', 'brand': 'BMO', 'operator': 'BMO'}",2019-10-14T07:53:51.000-07:00
atm,49.2778061,-122.84564040000001,,{'operator': 'DC Bank'},2017-08-28T01:16:02.000-07:00
atm,49.2686943,-123.1186393,,{'drive_through': 'no'},2017-07-05T03:11:31.000-07:00
atm,49.0397023,-122.2704203,,{'operator': 'Envision Financial'},2015-07-05T20:01:23.000-07:00
atm,49.311857399999994,-123.07903329999999,,{'operator': 'bitNational'},2017-12-02T23:45:00.000-08:00
atm,49.0385456,-122.2712014,CIBC drive-thru ATM,"{'drive_through': 'yes', 'operator': 'CIBC'}",2016-07-08T11:15:22.000-07:00
atm,49.0492963,-122.287219,,{'operator': 'Aldergrove Credit Union'},2015-10-04T22:44:23.000-07:00
atm,49.0506925,-122.33617290000001,,"{'drive_through': 'yes', 'operator': 'Prospera Credit Union'}",2016-02-21T04:29:38.000-08:00
atm,49.0404521,-122.2706336,,{'operator': 'TD Canada Trust'},2015-07-05T20:04:19.000-07:00
atm,49.0516607,-122.3179304,,"{'drive_through': 'yes', 'operator': 'Envision Financial'}",2015-02-09T23:15:08.000-08:00
atm,49.211023,-122.95731200000002,,{'operator': 'G&F Financial Group'},2010-11-27T22:36:19.000-08:00
atm,49.3795439,-123.3374131,,{'operator': 'NSCU'},2017-10-14T17:25:25.000-07:00
