amenity,lat,lon,name,tags,timestamp
bar,49.2830338,-123.0998209,No. 5 Orange,"{'addr:housenumber': '205', 'website': 'https://www.no5orange.ca/', 'addr:street': 'Main Street', 'addr:postcode': 'V6A 1K7'}",2019-03-22T02:54:23.000-07:00
bar,49.2820577,-123.0709121,Resurrection Distillery and Lounge,"{'addr:housenumber': '1672', 'addr:street': 'Franklin Street'}",2019-06-02T05:39:46.000-07:00
bar,49.195063299999994,-123.17993899999999,,"{'source:location': 'extrapolation', 'source': 'survey', 'level': '1'}",2012-03-26T18:47:26.000-07:00
bar,49.281603000000004,-123.1328977,1181,"{'addr:housenumber': '1181', 'website': 'http://www.1181.ca', 'addr:street': 'Davie Street'}",2016-02-14T21:02:33.000-08:00
bar,49.2837876,-123.0641858,Parallel 49 Tasting Room & Beer Store,"{'opening_hours': '11:00-23:00', 'website': 'http://parallel49brewing.com/tasting_room', 'shop': 'alcohol', 'phone': '+1-604-558-2739', 'drive_through': 'no'}",2018-10-26T20:31:03.000-07:00
bar,49.2044231,-122.9059535,The Met,"{'wheelchair': 'yes', 'addr:housenumber': '41', 'addr:street': 'Columbia Street', 'addr:postcode': 'V3L 1A9', 'addr:city': 'New Westminster'}",2018-04-16T18:59:29.000-07:00
bar,49.2021481,-122.92711990000001,Steel & Oak Tasting Room,"{'addr:housenumber': '1319', 'alt_name': 'Steel and Oak Tasting Room', 'website': 'https://steelandoak.ca/', 'shop': 'alcohol', 'phone': '+1-604-540-6495', 'opening_hours': 'Su-We 12:00-20:00; Th-Sa 12:00-22:00', 'addr:street': 'Third Avenue', 'addr:postcode': 'V3M 1R2', 'email': 'cheers@steelandoak.ca', 'addr:city': 'New Westminster'}",2019-02-18T01:14:17.000-08:00
bar,49.2807293,-123.1323456,The Junction,"{'opening_hours': 'Mo-Su 15:00-03:00+', 'addr:street': 'Davie Street'}",2019-07-06T09:10:42.000-07:00
bar,49.13402070000001,-122.3101942,"Big ""B"" Saloon",{'alt_name': 'Big B Saloon'},2019-11-10T11:08:25.000-08:00
bar,49.2874645,-123.1295818,The Den,"{'opening_hours': 'Mo-Th 16:00-01:00; Fr,Sa 16:00-02:00; Su 16:00-23:00'}",2019-09-02T22:08:29.000-07:00
