amenity,lat,lon,name,tags,timestamp
bench,49.271951200000004,-123.106305,,"{'wheelchair': 'no', 'colour': 'brown', 'backrest': 'no', 'material': 'wood', 'covered': 'no', 'seats': '12'}",2019-03-27T03:41:58.000-07:00
bench,49.272108700000004,-123.10652900000001,,{},2019-06-16T19:26:57.000-07:00
bench,49.2721109,-123.10664150000001,,{},2019-06-16T19:26:57.000-07:00
bench,49.2717093,-123.10735030000001,,{},2019-06-16T19:26:57.000-07:00
bench,49.2721114,-123.10675559999999,,{},2019-06-16T19:26:57.000-07:00
bench,49.2721744,-123.1064471,,"{'wheelchair': 'no', 'colour': 'grey', 'backrest': 'no', 'material': 'concrete', 'covered': 'no', 'seats': '3'}",2019-03-27T03:41:58.000-07:00
bench,49.271977500000006,-123.1068012,,{},2019-03-27T03:41:59.000-07:00
bench,49.271883,-123.10678370000001,,{},2019-06-16T19:26:57.000-07:00
bench,49.271809000000005,-123.1067871,,{},2019-06-16T19:26:57.000-07:00
bench,49.272102200000006,-123.10589399999999,,"{'wheelchair': 'no', 'colour': 'grey', 'backrest': 'yes', 'material': 'wood', 'covered': 'no', 'seats': '3'}",2019-06-16T19:26:57.000-07:00
bench,49.2717127,-123.1071324,,{},2019-06-16T19:26:57.000-07:00
bench,49.2718795,-123.1078486,,{'backrest': 'yes'},2019-03-27T03:41:59.000-07:00
bench,49.271709200000004,-123.1069923,,{},2019-06-16T19:26:57.000-07:00
bench,49.2717206,-123.10745179999999,,{},2019-03-27T03:41:59.000-07:00
bench,49.271736,-123.10767150000001,,{'backrest': 'yes'},2019-03-27T03:41:59.000-07:00
bench,49.2717911,-123.10785530000001,,{'backrest': 'yes'},2019-03-27T03:41:59.000-07:00
bench,49.27182,-123.10785259999999,,{'backrest': 'yes'},2019-03-27T03:41:59.000-07:00
bench,49.2718506,-123.10785130000001,,{'backrest': 'yes'},2019-03-27T03:41:59.000-07:00
bench,49.271907500000005,-123.1078419,,{'backrest': 'yes'},2019-03-27T03:41:59.000-07:00
bench,49.2719144,-123.10786670000002,,"{'material': 'wood', 'backrest': 'yes'}",2019-03-27T03:41:59.000-07:00
bench,49.2718646,-123.1078781,,"{'material': 'wood', 'backrest': 'yes'}",2019-03-27T03:41:59.000-07:00
bench,49.271832200000006,-123.1078794,,"{'material': 'wood', 'backrest': 'yes'}",2019-03-27T03:41:59.000-07:00
bench,49.2717377,-123.10756429999999,,{'backrest': 'yes'},2019-03-27T03:41:59.000-07:00
bench,49.263404200000004,-123.17668219999999,,"{'wheelchair': 'yes', 'image': 'https://flic.kr/p/2dWuChV', 'note': 'Uncovered, Wooden, Dirt/rock ground', 'colour': 'brown', 'backrest': 'no', 'material': 'wood', 'description': 'part of a home garden but accessible to public', 'seats': '2', 'ele': '1ft'}",2019-03-27T06:32:01.000-07:00
bench,49.2632374,-123.1763509,St James Community Sq,"{'wheelchair': 'yes', 'image': 'https://flic.kr/p/2dWuCgx', 'note': 'Wood, Covered, Ground Concrete', 'colour': 'brown', 'backrest': 'yes', 'material': 'wood', 'seats': '2', 'ele': '1.5ft'}",2019-03-27T06:32:00.000-07:00
bench,49.2634219,-123.1761263,Montagues of Broadway,"{'wheelchair': 'yes', 'image': 'https://flic.kr/p/2dWuCfa', 'note': 'Uncovered, Concrete Ground', 'colour': 'grey', 'backrest': 'yes', 'material': 'concrete', 'seats': '4', 'ele': '1.5ft'}",2019-03-27T06:32:00.000-07:00
bench,49.2720969,-123.105796,,"{'wheelchair': 'no', 'colour': 'grey', 'backrest': 'yes', 'material': 'wood', 'covered': 'no', 'seats': '3'}",2019-06-16T19:26:57.000-07:00
bench,49.2568091,-123.1099942,,"{'image': 'https://flic.kr/p/2dWqSEF', 'note': 'Not a proper bench but a good place to sit down.', 'backrest': 'no', 'material': 'wood', 'seats': '2'}",2019-03-27T03:20:18.000-07:00
bench,49.2720895,-123.10541119999999,,"{'wheelchair': 'no', 'colour': 'grey', 'backrest': 'yes', 'material': 'wood', 'covered': 'no', 'seats': '3'}",2019-06-16T19:26:57.000-07:00
bench,49.2619326,-123.1195135,,"{'image': 'https://flic.kr/p/2fkgXUM', 'note': 'Park with benches', 'backrest': 'yes', 'material': 'wood', 'seats': '6'}",2019-03-31T13:03:52.000-07:00
bench,49.170646000000005,-123.12441880000002,,"{'wheelchair': 'limited', 'note': 'Colour: Gray', 'website': 'https://flic.kr/p/TcEB2S', 'backrest': 'no', 'ele': 'average height'}",2019-03-28T01:34:41.000-07:00
bench,49.260740000000006,-123.1264075,,"{'image': 'https://flic.kr/p/2ffrQXG', 'colour': 'brown', 'backrest': 'yes', 'notes': 'uncovered, on gravel path', 'material': 'wood', 'seats': '2'}",2019-03-26T20:41:23.000-07:00
bench,49.257659000000004,-123.12736090000001,,"{'wheelchair': 'yes', 'image': 'https://flic.kr/p/2fk864K', 'colour': 'black', 'backrest': 'yes', 'notes': 'covered, paved ground', 'material': 'plastic', 'description': 'outdoor seating of cafe with movable chairs ', 'seats': '5'}",2019-03-26T20:41:23.000-07:00
bench,49.2590055,-123.1266129,,"{'wheelchair': 'yes', 'image': 'https://flic.kr/p/2ffrQB1', 'colour': 'brown', 'backrest': 'yes', 'notes': 'covered bus stop, paved ground', 'material': 'wood', 'seats': '2'}",2019-03-26T20:41:23.000-07:00
bench,49.2622705,-123.1267798,,"{'wheelchair': 'yes', 'image': 'https://flic.kr/p/2ffrQxU', 'colour': 'brown', 'backrest': 'yes', 'notes': 'covered bus stop, paved ground', 'material': 'wood', 'seats': '2'}",2019-03-26T20:41:23.000-07:00
bench,49.2631151,-123.12673259999998,,"{'wheelchair': 'yes', 'image': 'https://flic.kr/p/24HxHoD', 'colour': 'brown', 'backrest': 'yes', 'notes': 'covered bus stop, paved ground', 'material': 'wood', 'seats': '2'}",2019-03-26T20:41:23.000-07:00
bench,49.251904700000004,-123.15292050000001,,"{'wheelchair': 'yes', 'image': 'https://www.flickr.com/photos/162942472@N07/32532731717/in/dateposted-public/', 'colour': 'brown', 'backrest': 'yes', 'material': 'wood', 'covered': 'yes', 'seats': '3'}",2019-04-02T10:57:29.000-07:00
bench,49.2512316,-123.1531941,,"{'wheelchair': 'yes', 'image': 'https://www.flickr.com/photos/162942472@N07/32532731567/in/dateposted-public/', 'colour': 'brown', 'backrest': 'yes', 'material': 'wood', 'covered': 'yes', 'seats': '3'}",2019-04-02T10:57:56.000-07:00
bench,49.2511791,-123.1526603,,"{'wheelchair': 'yes', 'image': 'https://www.flickr.com/photos/162942472@N07/46559320855/in/dateposted-public/', 'colour': 'brown', 'backrest': 'yes', 'material': 'wood', 'covered': 'no', 'seats': '4'}",2019-04-02T10:57:56.000-07:00
bench,49.2495867,-123.1395256,,"{'wheelchair': 'yes', 'image': 'https://www.flickr.com/photos/162942472@N07/47421743932/in/dateposted-public/', 'colour': 'brown', 'backrest': 'yes', 'material': 'wood', 'covered': 'yes', 'seats': '3'}",2019-03-31T13:02:25.000-07:00
bench,49.2492777,-123.1387008,,"{'wheelchair': 'yes', 'image': 'https://www.flickr.com/photos/162942472@N07/46559321075/in/dateposted-public/', 'backrest': 'yes', 'material': 'wood', 'covered': 'yes', 'source': 'brown', 'seats': '3'}",2019-03-31T13:02:25.000-07:00
bench,49.2491,-123.1392305,,"{'wheelchair': 'yes', 'image': 'https://www.flickr.com/photos/162942472@N07/46559321075/in/dateposted-public/', 'colour': 'brown', 'backrest': 'yes', 'material': 'wood', 'covered': 'yes', 'seats': '3'}",2019-03-31T13:02:25.000-07:00
bench,49.262431,-123.11960549999999,,"{'photo': 'https://flic.kr/p/2dWoKAz', 'backrest': 'no', 'material': 'wood', 'seats': '2'}",2019-03-27T02:32:14.000-07:00
