amenity,lat,lon,name,tags,timestamp
childcare,49.0479074,-122.3365449,QT Daycare,"{'description': 'QT Daycare Clearbrook Group Child Care 2½-5 years', 'addr:housenumber': '2518C', 'website': 'http://www.qtdaycareabbotsford.com', 'addr:street': 'Clearbrook Road', 'addr:postcode': 'V2T 2Y2'}",2015-12-16T20:52:54.000-08:00
childcare,49.064366899999996,-122.3383905,PRAISE DAYCARE,{'phone': '+1-778-856-1718'},2018-06-20T15:11:52.000-07:00
childcare,49.0667578,-122.3371851,Maranatha KidsCare Daycare,"{'opening_hours': 'Mo-Fr 06:30-18:00; Sa-Su,PH off', 'website': 'http://maranathakidscare.com', 'phone': '+1-604-859-8405'}",2019-09-02T22:08:26.000-07:00
childcare,49.2256813,-122.59177040000002,123ABC Montessori Childcare,"{'note': 'A safe, happy and learning environment for your child', 'addr:housenumber': '12287', 'phone': '+1-604-467-0888', 'addr:street': 'Fulton Street', 'addr:postcode': 'V2X 6L4', 'addr:city': 'Maple Ridge'}",2018-10-26T20:30:10.000-07:00
childcare,49.0417567,-122.3062162,HandInHand,"{'website': 'http://www.handinhand.ca/#!schoolagecare/c24pf', 'entrance': 'yes', 'phone': '+1-604-850-5293'}",2016-01-23T23:15:47.000-08:00
childcare,49.049026899999994,-122.3002702,Yorkdale Fine Arts Preschool,"{'alt_name': 'Yorkdale Preschool', 'website': 'http://yorkdalefineartspreschool.com', 'loc_name': 'Yorkdale Pre-School', 'phone': '+1-604-859-1090', 'addr:unit': '2'}",2018-06-20T15:10:48.000-07:00
childcare,49.2826492,-123.1308332,Molehill Child Care,{},2019-09-30T19:50:34.000-07:00
childcare,49.0886489,-123.08231979999998,,{},2019-06-13T02:22:21.000-07:00
childcare,49.1150431,-122.67937340000002,Jellybean Park,"{'addr:housenumber': '19615', 'website': 'http://www.jellybeanpark.com/', 'phone': '+1-604-539-9898', 'preschool': 'yes', 'addr:street': 'Willowbrook Drive', 'fax': '+1-604-534-8853', 'addr:postcode': 'V2Y 1A5', 'email': 'info@jellybeanpark.com', 'addr:city': 'Langley'}",2019-10-28T00:12:57.000-07:00
childcare,49.1715846,-122.56591709999998,Headstart Daycare,{},2018-07-27T02:23:49.000-07:00
