amenity,lat,lon,name,tags,timestamp
fountain,49.25218220000001,-122.90164579999998,,{},2018-05-10T03:13:08.000-07:00
fountain,49.2807997,-123.12605559999999,,{},2013-10-10T06:14:56.000-07:00
fountain,49.2792994,-122.9133219,,{},2019-10-26T00:12:51.000-07:00
fountain,49.203303000000005,-122.92991299999998,,{},2012-07-14T05:22:52.000-07:00
fountain,49.272304600000005,-123.1401592,,{'source': 'survey'},2013-06-04T00:51:53.000-07:00
fountain,49.246750899999995,-122.8094693,,{},2019-11-02T23:28:07.000-07:00
fountain,49.2463732,-122.81085759999999,,{'disused': 'yes'},2019-11-09T23:46:09.000-08:00
fountain,49.290017999999996,-123.1212713,,{'source': 'survey'},2013-06-01T02:35:35.000-07:00
fountain,49.2762293,-123.1242535,,{},2016-01-09T05:06:00.000-08:00
fountain,49.275535299999994,-123.1345675,,"{'source:location': 'gps', 'source': 'survey'}",2015-04-14T21:43:43.000-07:00
fountain,49.1110677,-123.07410159999998,,{},2017-05-14T23:50:06.000-07:00
fountain,49.2832215,-123.1206763,Edward VII,{},2017-10-04T18:42:02.000-07:00
fountain,49.2719574,-123.1459227,,{},2016-02-09T00:07:25.000-08:00
fountain,49.155852200000005,-122.92347099999999,Sunstone Fountain,{'lit': 'yes'},2019-06-26T07:37:24.000-07:00
fountain,49.320970200000005,-123.07299640000002,Civic Plaza Fountain,{},2012-12-31T00:44:41.000-08:00
fountain,49.054460299999995,-122.32907479999999,,{},2015-12-08T14:30:50.000-08:00
fountain,49.2544107,-123.2472686,,{},2020-05-20T01:51:05.000-07:00
fountain,49.2598625,-123.12244220000001,,{},2015-01-24T22:59:29.000-08:00
fountain,49.258851299999996,-123.2349676,,{},2011-02-07T22:46:36.000-08:00
fountain,49.0269034,-122.42680800000001,,{'fountain': 'aeration'},2019-01-17T20:46:11.000-08:00
fountain,49.1925958,-123.18181059999999,,{},2019-08-24T14:58:57.000-07:00
fountain,49.2822628,-123.1300562,,{},2019-09-16T21:37:04.000-07:00
fountain,49.098411,-122.678099,,{'operator': 'City of Langley'},2020-01-30T19:51:12.000-08:00
fountain,49.0984273,-122.67721340000001,,{},2020-01-30T19:51:12.000-08:00
fountain,49.0592221,-122.31566969999999,,{},2019-08-07T01:30:54.000-07:00
fountain,49.248178700000004,-122.86844620000001,Waterfall at Charland,"{'drinking_water': 'no', 'fountain': 'Waterfall'}",2020-04-06T04:59:01.000-07:00
fountain,49.2865179,-122.78935600000001,Lafarge Lake Fountain,"{'drinking_water': 'no', 'fountain': 'jet_water', 'name:en': 'Lafarge Lake Fountain', 'lit': 'yes'}",2020-05-08T17:23:19.000-07:00
fountain,49.2545894,-123.23329790000001,,{},2011-04-05T05:00:18.000-07:00
fountain,49.252447,-122.73687269999999,,{},2020-03-31T00:14:11.000-07:00
fountain,49.251870200000006,-122.73716110000001,,{},2020-03-31T00:14:11.000-07:00
fountain,49.2541793,-123.23626100000001,,{'man_made': 'water_works'},2011-04-06T05:55:49.000-07:00
fountain,49.1336355,-123.0918342,,{},2019-06-06T07:24:12.000-07:00
fountain,49.2857165,-123.1203257,,{},2016-02-15T19:18:24.000-08:00
fountain,49.267476,-123.1192433,,{'note': 'Great view of the Lions. Follow the line of red bricks.'},2019-04-08T23:57:19.000-07:00
fountain,49.285137299999995,-123.12836029999998,,{'source': 'survey'},2013-05-26T19:14:53.000-07:00
fountain,49.2292458,-123.0046943,Mermaid Fountain,{},2018-04-26T02:46:24.000-07:00
fountain,49.2261655,-122.99713440000001,,{},2016-07-26T03:45:05.000-07:00
fountain,49.196931,-123.13994299999999,,"{'drinking_water': 'no', 'website': 'http://projects.fontanafountains.com', 'artist_name': 'Fontana Fountains'}",2020-01-13T18:01:26.000-08:00
fountain,49.2524624,-122.9007733,,"{'man_made': 'yes', 'description': 'Water feature that also serves as a sign for the Lougheed Village residential complex'}",2018-05-08T07:58:33.000-07:00
fountain,49.2524012,-122.9015139,,{},2018-05-08T07:58:36.000-07:00
fountain,49.1763494,-123.1447773,,{},2018-04-18T20:34:27.000-07:00
fountain,49.176410100000005,-123.143846,,{},2018-04-18T20:34:27.000-07:00
fountain,49.2956217,-123.13840829999998,,{},2017-08-15T11:43:41.000-07:00
fountain,49.226020500000004,-122.99927379999998,,{},2017-03-12T06:10:39.000-07:00
fountain,49.2800682,-123.11337150000001,,{},2016-11-29T18:32:57.000-08:00
fountain,49.1887438,-122.8019749,,{},2017-03-21T05:01:27.000-07:00
fountain,49.19708370000001,-123.1765357,,{},2016-12-05T17:53:38.000-08:00
fountain,49.006594899999996,-122.7584246,,{'drinking_water': 'no'},2016-09-07T02:10:02.000-07:00
fountain,49.2782155,-122.91281409999998,,{},2014-10-11T05:59:34.000-07:00
fountain,49.1266244,-122.38297469999999,,{},2018-07-15T23:33:55.000-07:00
fountain,49.085201299999994,-123.0589029,,{},2017-04-28T22:49:51.000-07:00
